"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2020","2,035.00","2,022.63","2,023.50","1,973.25","31.37K","2.26%"
"12/08/2020","1,990.00","1,982.50","2,001.75","1,977.68","31.76K","-1.34%"
"12/07/2020","2,017.00","2,001.75","2,034.85","1,997.75","24.28K","-1.32%"
"12/04/2020","2,044.00","2,036.50","2,040.00","2,019.50","24.95K","0.79%"
"12/03/2020","2,028.00","2,013.50","2,049.65","2,008.00","47.05K","-1.31%"
"12/02/2020","2,055.00","2,060.25","2,061.00","2,037.75","44.65K","-0.46%"
"12/01/2020","2,064.50","2,055.38","2,062.78","2,041.63","52.66K","0.95%"
"11/30/2020","2,045.00","1,995.88","2,041.38","1,994.00","59.75K","2.33%"
"11/27/2020","1,998.50","1,989.50","1,991.00","1,967.25","41.47K","1.14%"
"11/26/2020","1,976.00","1,961.25","1,970.25","1,961.25","23.63K","0.30%"
"11/25/2020","1,970.00","1,963.50","1,980.00","1,959.75","42.09K","-0.83%"
"11/24/2020","1,986.50","1,981.50","1,982.00","1,966.50","37.33K","0.66%"
"11/23/2020","1,973.50","1,988.00","1,988.00","1,962.25","34.72K","-0.98%"
"11/20/2020","1,993.00","1,988.10","1,988.10","1,981.85","38.68K","0.03%"
"11/19/2020","1,992.50","1,987.75","1,994.50","1,970.00","24.75K","-0.28%"
"11/18/2020","1,998.00","1,987.75","1,991.40","1,970.00","37.16K","1.04%"
"11/17/2020","1,977.50","1,960.25","1,966.00","1,936.00","69.40K","1.36%"
"11/16/2020","1,951.00","1,938.50","1,939.50","1,916.50","30.55K","0.98%"
"11/13/2020","1,932.00","1,919.55","1,919.55","1,913.00","21.99K","0.10%"
"11/12/2020","1,930.00","1,909.50","1,912.25","1,901.00","24.44K","0.63%"
"11/11/2020","1,918.00","1,899.05","1,902.43","1,890.80","29.72K","0.52%"
"11/10/2020","1,908.00","1,897.00","1,897.75","1,878.00","23.75K","0.77%"
"11/09/2020","1,893.50","1,888.00","1,889.00","1,884.38","39.38K","-0.42%"
"11/06/2020","1,901.50","1,889.35","1,893.60","1,887.35","30.70K","0.21%"
"11/05/2020","1,897.50","1,884.00","1,904.50","1,882.25","35.08K","-0.58%"
"11/04/2020","1,908.50","1,903.74","1,910.00","1,902.25","50.98K","0.16%"
"11/03/2020","1,905.50","1,899.25","1,902.88","1,866.50","48.03K","2.12%"
"11/02/2020","1,866.00","1,876.75","1,878.75","1,853.50","37.53K","0.95%"
"10/30/2020","1,848.50","1,851.50","1,853.13","1,804.75","39.20K","2.52%"
"10/29/2020","1,803.00","1,799.75","1,804.25","1,794.18","28.75K","-0.36%"
"10/28/2020","1,809.50","1,807.00","1,818.00","1,801.20","29.50K","-0.69%"
"10/27/2020","1,822.00","1,813.31","1,819.56","1,806.80","25.72K","-0.30%"
"10/26/2020","1,827.50","1,816.95","1,836.95","1,816.20","26.42K","-0.81%"
"10/23/2020","1,842.50","1,836.50","1,840.25","1,834.38","19.12K","-0.22%"
"10/22/2020","1,846.50","1,837.50","1,837.88","1,835.38","19.61K","0.16%"
"10/21/2020","1,843.50","1,834.83","1,840.18","1,823.25","31.68K","0.49%"
"10/20/2020","1,834.50","1,841.20","1,841.20","1,821.83","49.74K","-1.03%"
"10/19/2020","1,853.50","1,833.75","1,861.00","1,832.50","35.96K","-0.91%"
"10/16/2020","1,870.50","1,852.75","1,855.00","1,840.75","38.89K","1.00%"
"10/15/2020","1,852.00","1,837.25","1,837.25","1,833.00","27.00K","0.00%"
"10/14/2020","1,852.00","1,835.49","1,845.50","1,833.25","29.29K","-0.32%"
"10/13/2020","1,858.00","1,842.00","1,843.75","1,841.50","38.71K","0.13%"
"10/12/2020","1,855.50","1,843.00","1,843.25","1,828.50","40.66K","0.76%"
"10/09/2020","1,841.50","1,833.50","1,833.50","1,789.75","53.27K","2.05%"
"10/08/2020","1,804.50","1,765.50","1,786.38","1,765.50","33.99K","1.18%"
"10/07/2020","1,783.50","1,766.50","1,766.50","1,745.00","31.17K","1.05%"
"10/06/2020","1,765.00","1,752.75","1,762.75","1,748.06","34.26K","-0.62%"
"10/05/2020","1,776.00","1,753.50","1,753.50","1,741.75","24.54K","0.45%"
"10/02/2020","1,768.00","1,732.00","1,736.63","1,711.75","44.79K","1.64%"
"10/01/2020","1,739.50","1,737.75","1,739.75","1,709.75","37.58K","-1.44%"
"09/30/2020","1,765.00","1,741.50","1,759.00","1,739.50","34.35K","-1.01%"
"09/29/2020","1,783.00","1,752.75","1,754.50","1,752.75","27.43K","0.45%"
"09/28/2020","1,775.00","1,760.99","1,761.74","1,725.00","30.06K","1.52%"
"09/25/2020","1,748.50","1,736.01","1,737.26","1,715.50","34.33K","0.49%"
"09/24/2020","1,740.00","1,729.36","1,729.36","1,713.78","47.91K","-0.83%"
"09/23/2020","1,754.50","1,731.63","1,751.55","1,730.13","44.65K","-1.24%"
"09/22/2020","1,776.50","1,754.00","1,758.50","1,753.00","27.79K","-0.17%"
"09/21/2020","1,779.50","1,756.00","1,768.75","1,755.75","29.83K","-0.73%"
"09/18/2020","1,792.50","1,771.51","1,772.26","1,757.00","29.55K","0.65%"
"09/17/2020","1,781.00","1,772.35","1,772.35","1,772.35","28.67K","-0.81%"
"09/16/2020","1,795.50","1,751.76","1,754.51","1,750.76","64.33K","0.34%"
"09/15/2020","1,789.50","1,755.01","1,761.76","1,754.76","27.83K","-0.61%"
"09/14/2020","1,800.50","1,764.56","1,764.81","1,737.50","32.82K","1.44%"
"09/11/2020","1,775.00","1,738.25","1,752.90","1,737.75","24.43K","-0.81%"
"09/10/2020","1,789.50","1,743.51","1,752.65","1,742.01","27.73K","0.31%"
"09/09/2020","1,784.00","1,757.10","1,757.10","1,748.09","28.47K","-0.45%"
"09/08/2020","1,792.00","1,763.62","1,763.62","1,752.87","28.46K","-0.31%"
"09/07/2020","1,797.50","1,763.50","1,765.00","1,763.50","18.54K","0.62%"
"09/04/2020","1,786.50","1,759.88","1,760.55","1,749.55","25.41K","0.37%"
"09/03/2020","1,780.00","1,746.76","1,755.85","1,746.76","32.86K","-0.34%"
"09/02/2020","1,786.00","1,788.00","1,788.00","1,761.65","51.11K","-1.68%"
"09/01/2020","1,816.50","1,771.50","1,789.50","1,771.50","48.02K","0.92%"
"08/28/2020","1,800.00","1,772.51","1,773.01","1,751.25","38.94K","1.07%"
"08/27/2020","1,781.00","1,750.25","1,750.25","1,746.13","28.44K","0.06%"
"08/26/2020","1,780.00","1,747.38","1,752.28","1,745.38","27.52K","0.25%"
"08/25/2020","1,775.50","1,747.95","1,749.61","1,741.86","26.24K","0.28%"
"08/24/2020","1,770.50","1,741.87","1,744.50","1,737.62","27.87K","0.31%"
"08/21/2020","1,765.00","1,740.38","1,763.50","1,738.13","44.34K","-1.37%"
"08/20/2020","1,789.50","1,754.50","1,780.49","1,736.25","39.32K","-0.22%"
"08/19/2020","1,793.50","1,754.50","1,754.75","1,736.25","34.28K","1.13%"
"08/18/2020","1,773.50","1,718.75","1,741.16","1,718.75","43.09K","1.00%"
"08/17/2020","1,756.00","1,710.75","1,723.22","1,710.75","29.51K","0.57%"
"08/14/2020","1,746.00","1,728.00","1,728.00","1,710.43","30.98K","-0.99%"
"08/13/2020","1,763.50","1,753.85","1,757.60","1,724.15","33.92K","-1.32%"
"08/12/2020","1,787.00","1,753.85","1,755.60","1,753.85","30.20K","0.06%"
"08/11/2020","1,786.00","1,754.50","1,754.50","1,749.68","37.81K","0.00%"
"08/10/2020","1,786.00","1,739.55","1,750.93","1,739.55","36.40K","0.85%"
"08/07/2020","1,771.00","1,747.00","1,747.00","1,734.75","32.59K","-0.37%"
"08/06/2020","1,777.50","1,736.50","1,746.69","1,736.50","36.43K","0.59%"
"08/05/2020","1,767.00","1,731.90","1,742.75","1,729.00","48.21K","-0.17%"
"08/04/2020","1,770.00","1,721.50","1,734.62","1,721.50","45.85K","1.03%"
"08/03/2020","1,752.00","1,715.50","1,720.75","1,683.50","62.26K","2.25%"
"07/31/2020","1,713.50","1,681.50","1,696.25","1,678.50","51.66K","-0.38%"
"07/30/2020","1,720.00","1,699.00","1,699.50","1,687.50","32.52K","-0.29%"
"07/29/2020","1,725.00","1,700.25","1,701.75","1,697.25","24.50K","0.06%"
"07/28/2020","1,724.00","1,699.13","1,701.99","1,682.50","33.01K","0.94%"
"07/27/2020","1,708.00","1,686.10","1,686.35","1,676.60","20.57K","0.47%"
"07/24/2020","1,700.00","1,675.25","1,678.50","1,668.64","35.96K","-0.06%"
"07/23/2020","1,701.00","1,686.50","1,688.00","1,670.75","28.48K","0.59%"
"07/22/2020","1,691.00","1,668.75","1,676.00","1,666.39","35.74K","-0.32%"
"07/21/2020","1,696.50","1,675.22","1,678.50","1,640.22","61.85K","1.92%"
"07/20/2020","1,664.50","1,643.25","1,644.00","1,638.08","29.32K","0.18%"
"07/17/2020","1,661.50","1,644.50","1,651.25","1,640.75","27.50K","-0.54%"
"07/16/2020","1,670.50","1,648.00","1,665.75","1,647.55","43.58K","-0.77%"
"07/15/2020","1,683.50","1,644.75","1,655.00","1,644.00","32.62K","-0.30%"
"07/14/2020","1,688.50","1,656.50","1,656.50","1,649.44","39.42K","-0.09%"
"07/13/2020","1,690.00","1,660.75","1,676.00","1,656.00","58.30K","0.09%"
"07/10/2020","1,688.50","1,658.88","1,662.25","1,638.00","44.11K","1.47%"
"07/09/2020","1,664.00","1,623.00","1,651.59","1,620.25","56.37K","-0.06%"
"07/08/2020","1,665.00","1,604.25","1,637.50","1,604.25","55.11K","1.90%"
"07/07/2020","1,634.00","1,604.75","1,604.75","1,600.33","32.25K","-0.03%"
"07/06/2020","1,634.50","1,605.00","1,606.50","1,586.00","33.66K","1.27%"
"07/03/2020","1,614.00","1,585.75","1,593.25","1,584.25","26.76K","-0.43%"
"07/02/2020","1,621.00","1,594.00","1,598.25","1,594.00","227.09K","0.00%"
"07/01/2020","1,621.00","1,598.00","1,598.00","1,586.75","260.05K","0.09%"
"06/30/2020","1,619.50","1,591.25","1,596.71","1,583.00","192.48K","0.65%"
"06/29/2020","1,609.00","1,589.25","1,589.25","1,577.25","155.59K","0.47%"
"06/26/2020","1,601.50","1,545.50","1,579.40","1,545.50","205.52K","2.01%"
"06/25/2020","1,570.00","1,551.25","1,551.25","1,540.93","149.62K","-0.38%"
"06/24/2020","1,576.00","1,551.50","1,570.75","1,549.50","126.81K","-1.19%"
"06/23/2020","1,595.00","1,579.00","1,579.00","1,579.00","125.42K","-0.50%"
"06/22/2020","1,603.00","1,569.00","1,569.00","1,569.00","129.27K","0.69%"
"06/19/2020","1,592.00","1,562.25","1,584.50","1,561.75","151.59K","-0.90%"
"06/18/2020","1,606.50","1,585.25","1,585.25","1,585.25","149.77K","-0.06%"
"06/17/2020","1,607.50","1,585.38","1,586.00","1,576.00","168.67K","0.63%"
