Date,Price,Open,High,Low,Vol.,Change %
"11/07/2025","2,856.95","2,850.25","2,866.90","2,845.40","","0.45%"
"11/06/2025","2,844.15","2,877.00","2,884.10","2,833.95","","-0.67%"
"11/05/2025","2,863.20","2,850.50","2,874.80","2,845.70","","0.04%"
"11/04/2025","2,862.00","2,882.30","2,884.10","2,844.30","","-1.75%"
"11/03/2025","2,912.95","2,907.10","2,922.40","2,892.15","","0.71%"
"10/31/2025","2,892.55","2,860.70","2,894.75","2,849.20","","0.70%"
"10/30/2025","2,872.55","2,871.35","2,882.80","2,840.70","","-0.42%"
10/29/2025,"4,700.00","4,700.00","4,700.00","4,700.00",,0.79%
10/28/2025,"4,663.30","4,663.30","4,663.30","4,663.30",,0.23%
10/27/2025,"4,652.70","4,652.70","4,652.70","4,652.70",,0.54%
10/24/2025,"4,627.50","4,627.50","4,627.50","4,627.50",,0.55%
10/23/2025,"4,602.20","4,602.20","4,602.20","4,602.20",,1.60%
10/22/2025,"4,529.70","4,529.70","4,529.70","4,529.70",,0.64%
10/21/2025,"4,500.90","4,500.90","4,500.90","4,500.90",,-0.32%
10/20/2025,"4,515.40","4,515.40","4,515.40","4,515.40",,0.67%
10/17/2025,"4,485.50","4,485.50","4,485.50","4,485.50",,-0.60%
10/16/2025,"4,512.40","4,512.40","4,512.40","4,512.40",,0.48%
10/15/2025,"4,491.00","4,491.00","4,491.00","4,491.00",,0.47%
10/14/2025,"4,469.90","4,469.90","4,469.90","4,469.90",,-1.86%
10/13/2025,"4,554.80","4,554.80","4,554.80","4,554.80",,1.74%
10/10/2025,"4,477.10","4,477.10","4,477.10","4,477.10",,-2.52%
10/9/2025,"4,592.70","4,592.70","4,592.70","4,592.70",,1.66%
10/8/2025,"4,517.70","4,517.70","4,517.70","4,517.70",,-0.59%
10/7/2025,"4,544.60","4,544.60","4,544.60","4,544.60",,0.83%
10/6/2025,"4,507.40","4,507.40","4,507.40","4,507.40",,-0.49%
10/3/2025,"4,529.50","4,529.50","4,529.50","4,529.50",,1.51%
10/2/2025,"4,462.20","4,462.20","4,462.20","4,462.20",,0.98%
10/1/2025,"4,419.00","4,419.00","4,419.00","4,419.00",,0.91%
9/30/2025,"4,379.20","4,379.20","4,379.20","4,379.20",,-0.84%
9/29/2025,"4,416.10","4,416.10","4,416.10","4,416.10",,1.89%
9/26/2025,"4,334.30","4,334.30","4,334.30","4,334.30",,-0.65%
9/25/2025,"4,362.50","4,362.50","4,362.50","4,362.50",,-0.41%
9/24/2025,"4,380.50","4,380.50","4,380.50","4,380.50",,2.48%
9/23/2025,"4,274.70","4,274.70","4,274.70","4,274.70",,0.04%
9/22/2025,"4,272.90","4,272.90","4,272.90","4,272.90",,-0.37%
9/19/2025,"4,288.80","4,288.80","4,288.80","4,288.80",,0.19%
9/18/2025,"4,280.60","4,280.60","4,280.60","4,280.60",,-0.52%
9/17/2025,"4,302.90","4,302.90","4,302.90","4,302.90",,-1.25%
9/16/2025,"4,357.20","4,357.20","4,357.20","4,357.20",,-0.12%
9/15/2025,"4,362.40","4,362.40","4,362.40","4,362.40",,0.74%
9/12/2025,"4,330.20","4,330.20","4,330.20","4,330.20",,0.51%
9/11/2025,"4,308.40","4,308.40","4,308.40","4,308.40",,0.77%
9/10/2025,"4,275.30","4,275.30","4,275.30","4,275.30",,0.90%
9/9/2025,"4,237.30","4,237.30","4,237.30","4,237.30",,-0.13%
9/8/2025,"4,242.70","4,242.70","4,242.70","4,242.70",,0.22%
9/5/2025,"4,233.30","4,233.30","4,233.30","4,233.30",,0.05%
9/4/2025,"4,231.10","4,231.10","4,231.10","4,231.10",,-0.80%
9/3/2025,"4,265.20","4,265.20","4,265.20","4,265.20",,-0.04%
9/2/2025,"4,266.70","4,266.70","4,266.70","4,266.70",,0.60%
9/1/2025,"4,241.30","4,241.30","4,241.30","4,241.30",,-0.11%
8/29/2025,"4,246.00","4,246.00","4,246.00","4,246.00",,0.81%
8/28/2025,"4,212.00","4,212.00","4,212.00","4,212.00",,0.54%
8/27/2025,"4,189.50","4,189.50","4,189.50","4,189.50",,-0.92%
8/26/2025,"4,228.30","4,228.30","4,228.30","4,228.30",,0.44%
8/22/2025,"4,209.90","4,209.90","4,209.90","4,209.90",,1.08%
8/21/2025,"4,164.90","4,164.90","4,164.90","4,164.90",,-0.05%
8/20/2025,"4,167.00","4,167.00","4,167.00","4,167.00",,0.33%
8/19/2025,"4,153.20","4,153.20","4,153.20","4,153.20",,-0.49%
8/18/2025,"4,173.70","4,173.70","4,173.70","4,173.70",,-0.49%
8/15/2025,"4,194.10","4,194.10","4,194.10","4,194.10",,-0.14%
8/14/2025,"4,199.90","4,199.90","4,199.90","4,199.90",,-0.09%
8/13/2025,"4,203.80","4,203.80","4,203.80","4,203.80",,-0.37%
8/12/2025,"4,219.50","4,219.50","4,219.50","4,219.50",,0.97%
8/11/2025,"4,179.00","4,179.00","4,179.00","4,179.00",,-0.35%
8/8/2025,"4,193.60","4,193.60","4,193.60","4,193.60",,0.46%
8/7/2025,"4,174.50","4,174.50","4,174.50","4,174.50",,0.19%
8/6/2025,"4,166.40","4,166.40","4,166.40","4,166.40",,0.80%
8/5/2025,"4,133.20","4,133.20","4,133.20","4,133.20",,-0.22%
8/4/2025,"4,142.30","4,142.30","4,142.30","4,142.30",,0.24%
8/1/2025,"4,132.30","4,132.30","4,132.30","4,132.30",,0.18%
7/31/2025,"4,124.80","4,124.80","4,124.80","4,124.80",,-1.11%
7/30/2025,"4,171.30","4,171.30","4,171.30","4,171.30",,-0.88%
7/29/2025,"4,208.40","4,208.40","4,208.40","4,208.40",,-0.22%
7/28/2025,"4,217.70","4,217.70","4,217.70","4,217.70",,-0.03%
7/25/2025,"4,218.90","4,218.90","4,218.90","4,218.90",,-0.96%
7/24/2025,"4,259.60","4,259.60","4,259.60","4,259.60",,-0.51%
7/23/2025,"4,281.50","4,281.50","4,281.50","4,281.50",,0.27%
7/22/2025,"4,269.90","4,269.90","4,269.90","4,269.90",,0.51%
7/21/2025,"4,248.30","4,248.30","4,248.30","4,248.30",,0.81%
7/18/2025,"4,214.20","4,214.20","4,214.20","4,214.20",,1.56%
7/17/2025,"4,149.60","4,149.60","4,149.60","4,149.60",,0.37%
7/16/2025,"4,134.40","4,134.40","4,134.40","4,134.40",,-0.22%
7/15/2025,"4,143.70","4,143.70","4,143.70","4,143.70",,-0.01%
7/14/2025,"4,144.00","4,144.00","4,144.00","4,144.00",,-0.55%
7/11/2025,"4,166.90","4,166.90","4,166.90","4,166.90",,-0.47%
7/10/2025,"4,186.60","4,186.60","4,186.60","4,186.60",,0.71%
7/9/2025,"4,157.20","4,157.20","4,157.20","4,157.20",,-0.88%
7/8/2025,"4,193.90","4,193.90","4,193.90","4,193.90",,-0.07%
7/7/2025,"4,196.70","4,196.70","4,196.70","4,196.70",,-0.60%
7/4/2025,"4,222.00","4,222.00","4,222.00","4,222.00",,-0.78%
