"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"09/16/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$50,344.27","","Sep 16, 2025, 7:38 AM",
"09/16/2025","Payment","9507731001","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$50,344.27","","Sep 16, 2025, 7:38 AM",
"09/15/2025","Invoice","4422","C&Y Global, Inc. / Pro Metal Recycling","10/15/2025","$17,739.85","$17,739.85","","Sep 18, 2025, 2:21 PM",
"08/28/2025","Invoice","4384","C&Y Global, Inc. / Pro Metal Recycling","09/27/2025","$0.00","$50,344.27","","Sep 16, 2025, 7:38 AM",
"08/27/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$15,858.00","","Aug 27, 2025, 7:29 AM",
"08/27/2025","Payment","25087","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$15,858.00","","Aug 27, 2025, 7:29 AM",
"08/08/2025","Invoice","4328","C&Y Global, Inc. / Pro Metal Recycling","09/07/2025","$0.00","$15,858.00","","Aug 27, 2025, 7:29 AM",
"07/28/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$16,647.88","","Jul 28, 2025, 7:37 AM",
"07/28/2025","Payment","C-PRR 867327","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$16,647.88","","Jul 28, 2025, 7:37 AM",
"07/21/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$77,876.32","","Jul 21, 2025, 7:35 AM",
"07/21/2025","Payment","C-PRR867041","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$77,876.32","","Jul 21, 2025, 7:35 AM",
"07/16/2025","Invoice","4265","C&Y Global, Inc. / Pro Metal Recycling","08/15/2025","$0.00","$16,647.88","","Jul 28, 2025, 7:37 AM",
"06/28/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$34,038.44","","Jun 28, 2025, 7:29 AM",
"06/28/2025","Payment","CPRR866636","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$34,038.44","","Jun 28, 2025, 7:29 AM",
"06/25/2025","Invoice","4215","C&Y Global, Inc. / Pro Metal Recycling","07/25/2025","$0.00","$77,876.32","","Jul 21, 2025, 7:34 AM",
"06/09/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$28,574.66","","Jun 9, 2025, 7:22 AM",
"06/09/2025","Payment","250609 CPRR 866285","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$28,574.66","","Jun 9, 2025, 7:22 AM",
"06/06/2025","Invoice","4170","C&Y Global, Inc. / Pro Metal Recycling","07/06/2025","$0.00","$34,038.44","","Jun 28, 2025, 7:28 AM",
"05/20/2025","Invoice","4120","C&Y Global, Inc. / Pro Metal Recycling","06/19/2025","$0.00","$28,574.66","","Jun 9, 2025, 7:21 AM",
"05/12/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$55,688.62","","May 12, 2025, 7:48 AM",
"05/12/2025","Payment","C-PRR 865858","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$55,688.62","","May 12, 2025, 7:48 AM",
"05/07/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$27,377.18","","May 7, 2025, 7:21 AM",
"05/07/2025","Payment","9507731001","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$27,377.18","","May 7, 2025, 7:21 AM",
"04/28/2025","Invoice","4069","C&Y Global, Inc. / Pro Metal Recycling","05/28/2025","$0.00","$55,688.62","","May 12, 2025, 7:48 AM",
"04/21/2025","Invoice","4054","C&Y Global, Inc. / Pro Metal Recycling","05/21/2025","$0.00","$27,377.18","","May 7, 2025, 7:21 AM",
"04/14/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$24,896.59","","May 5, 2025, 8:43 AM",
"04/14/2025","Payment","C-PRR865356","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$24,896.59","","Apr 14, 2025, 7:33 AM",
"03/31/2025","Invoice","4005","C&Y Global, Inc. / Pro Metal Recycling","04/30/2025","$0.00","$24,896.59","","Apr 14, 2025, 7:33 AM",
"03/28/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$29,741.78","","Apr 15, 2025, 11:32 AM",
"03/28/2025","Payment","250328","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$29,741.78","","Mar 28, 2025, 8:08 AM",
"03/13/2025","Invoice","3958","C&Y Global, Inc. / Pro Metal Recycling","04/12/2025","$0.00","$29,741.78","","Mar 28, 2025, 8:08 AM",
"03/11/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$44,552.62","","Apr 15, 2025, 11:32 AM",
"03/11/2025","Payment","PRR864769","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$44,552.62","","Mar 12, 2025, 7:33 AM",
"03/06/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$28,625.53","","Apr 15, 2025, 11:32 AM",
"03/06/2025","Payment","250306","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$28,625.53","","Mar 6, 2025, 7:32 AM",
"02/28/2025","Invoice","3923","C&Y Global, Inc. / Pro Metal Recycling","03/30/2025","$0.00","$44,552.62","","Mar 12, 2025, 7:32 AM",
"02/26/2025","Invoice","3921","C&Y Global, Inc. / Pro Metal Recycling","03/28/2025","$0.00","$28,625.53","","Mar 6, 2025, 7:32 AM",
"01/27/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$32,422.95","","Feb 5, 2025, 7:54 AM",
"01/27/2025","Payment","250124","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$32,422.95","","Jan 27, 2025, 7:30 AM",
"01/22/2025","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$79,591.70","","Feb 5, 2025, 7:54 AM",
"01/22/2025","Payment","250122 C-PRR863782","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$79,591.70","","Jan 22, 2025, 1:48 PM",
"01/13/2025","Invoice","3830","C&Y Global, Inc. / Pro Metal Recycling","02/12/2025","$0.00","$32,422.95","","Jan 27, 2025, 7:29 AM",
"01/02/2025","Invoice","3813","C&Y Global, Inc. / Pro Metal Recycling","02/01/2025","$0.00","$79,591.70","","Jan 22, 2025, 1:47 PM",
"12/23/2024","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$47,803.21","","Jan 10, 2025, 11:52 AM",
"12/23/2024","Payment","9507731001","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$47,803.21","","Dec 23, 2024, 7:29 AM",
"12/12/2024","Invoice","3760","C&Y Global, Inc. / Pro Metal Recycling","01/11/2025","$0.00","$47,803.21","","Dec 23, 2024, 7:28 AM",
"11/13/2024","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$32,804.43","","Dec 4, 2024, 10:28 AM",
"11/13/2024","Payment","9507731001","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$32,804.43","","Nov 13, 2024, 7:34 AM",
"10/24/2024","Invoice","3659","C&Y Global, Inc. / Pro Metal Recycling","11/23/2024","$0.00","$32,804.43","","Nov 13, 2024, 7:33 AM",
"10/21/2024","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$43,625.99","","Nov 21, 2024, 11:35 AM",
"10/21/2024","Payment","9507731001","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$43,625.99","","Oct 21, 2024, 7:42 AM",
"10/16/2024","Deposit","","C&Y Global, Inc. / Pro Metal Recycling","","$0.00","$40,407.42","","Nov 21, 2024, 11:35 AM",
