"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"09/05/2023","Payment","246241","Farnsworth Metal Recycling","","$0.00","$397.13","","Sep 5, 2023, 10:58 AM",
"08/31/2023","Invoice","2594","Farnsworth Metal Recycling","09/30/2023","$0.00","$397.13","","Sep 5, 2023, 10:58 AM",
"08/24/2023","Payment","246205","Farnsworth Metal Recycling","","$0.00","$2,512.55","","Aug 24, 2023, 9:27 AM",
"08/22/2023","Invoice","2560","Farnsworth Metal Recycling","09/21/2023","$0.00","$719.85","","Aug 24, 2023, 9:27 AM",
"08/19/2023","Invoice","2555","Farnsworth Metal Recycling","09/18/2023","$0.00","$1,166.45","","Aug 24, 2023, 9:27 AM",
"08/14/2023","Invoice","2541","Farnsworth Metal Recycling","09/13/2023","$0.00","$626.25","","Aug 24, 2023, 9:27 AM",
"08/14/2023","Payment","246161","Farnsworth Metal Recycling","","$0.00","$1,279.24","","Aug 14, 2023, 9:35 AM",
"08/09/2023","Invoice","2531","Farnsworth Metal Recycling","09/08/2023","$0.00","$1,279.24","","Aug 14, 2023, 9:35 AM",
"07/17/2023","Payment","245995","Farnsworth Metal Recycling","","$0.00","$719.45","","Jul 17, 2023, 3:47 PM",
"07/17/2023","Invoice","2467","Farnsworth Metal Recycling","08/16/2023","$0.00","$719.45","","Jul 17, 2023, 3:47 PM",
"06/28/2023","Payment","245863","Farnsworth Metal Recycling","","$0.00","$1,077.70","","Jun 28, 2023, 9:42 AM",
"06/28/2023","Invoice","2422","Farnsworth Metal Recycling","07/28/2023","$0.00","$284.60","","Jun 28, 2023, 9:42 AM",
"06/28/2023","Invoice","2421","Farnsworth Metal Recycling","07/28/2023","$0.00","$793.10","","Jun 28, 2023, 9:42 AM",
"06/22/2023","Payment","245825","Farnsworth Metal Recycling","","$0.00","$782.90","","Jun 22, 2023, 10:31 AM",
"06/22/2023","Invoice","2408","Farnsworth Metal Recycling","07/22/2023","$0.00","$782.90","","Jun 22, 2023, 10:31 AM",
"06/02/2023","Payment","245780","Farnsworth Metal Recycling","","$0.00","$1,371.10","","Jun 12, 2023, 9:40 AM",
"06/02/2023","Invoice","2383","Farnsworth Metal Recycling","07/02/2023","$0.00","$1,371.10","","Jun 12, 2023, 9:40 AM",
"04/20/2023","Payment","245537","Farnsworth Metal Recycling","","$0.00","$7,944.40","","Apr 24, 2023, 9:39 AM",
"04/14/2023","Invoice","2229","Farnsworth Metal Recycling","05/14/2023","$0.00","$7,944.40","","Apr 24, 2023, 9:39 AM",
"04/27/2022","Payment","243030","Farnsworth Metal Recycling","","$0.00","$2,355.32","","Apr 27, 2022, 11:13 AM",
"04/27/2022","Invoice","1386","Farnsworth Metal Recycling","05/27/2022","$0.00","$2,355.32","","Apr 27, 2022, 11:13 AM",
"04/18/2022","Payment","242950","Farnsworth Metal Recycling","","$0.00","$2,507.15","","Apr 18, 2022, 10:39 AM",
"04/18/2022","Invoice","1364","Farnsworth Metal Recycling","05/18/2022","$0.00","$2,507.15","","Apr 18, 2022, 10:39 AM",
