"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"06/26/2025","Payment","27311","Fryman's Recycling #1","","$0.00","$58.77","","Jun 26, 2025, 3:28 PM",
"06/26/2025","Deposit","","","","$0.00","$6,021.54","","Jun 26, 2025, 3:32 PM",
"05/25/2025","Invoice","4218","Fryman's Recycling #1","06/24/2025","$0.00","$58.77","","Jun 26, 2025, 10:19 AM",
"11/25/2024","Deposit","","","","$0.00","$17,106.21","","Dec 4, 2024, 10:28 AM",
"11/23/2024","Payment","26270","Fryman's Recycling #1","","$0.00","$67.26","","Nov 25, 2024, 10:38 AM",
"11/23/2024","Invoice","3729","Fryman's Recycling #1","12/23/2024","$0.00","$67.26","","Nov 23, 2024, 9:57 AM",
"10/28/2024","Payment","26125","Fryman's Recycling #1","","$0.00","$82.40","","Oct 28, 2024, 10:14 AM",
"10/28/2024","Deposit","","","","$0.00","$5,716.79","","Nov 21, 2024, 11:35 AM",
"10/23/2024","Invoice","3655","Fryman's Recycling #1","11/22/2024","$0.00","$82.40","","Oct 28, 2024, 10:12 AM",
"09/23/2024","Payment","25924","Fryman's Recycling #1","","$0.00","$125.30","","Sep 23, 2024, 11:38 AM",
"09/23/2024","Deposit","","","","$0.00","$19,985.56","","Oct 7, 2024, 2:14 PM",
"08/01/2024","Invoice","3463","Fryman's Recycling #1","08/31/2024","$0.00","$125.30","","Sep 23, 2024, 11:11 AM",
"01/10/2024","Deposit","","","","$0.00","$31,412.05","","Sep 11, 2024, 10:20 AM",
"01/09/2024","Payment","24531","Fryman's Recycling #1","","$0.00","$115.30","","Jan 9, 2024, 9:51 AM",
"12/08/2023","Invoice","2849","Fryman's Recycling #1","01/07/2024","$0.00","$115.30","","Aug 1, 2024, 3:33 PM",
"11/21/2022","Payment","22435","Fryman's Recycling #1","","$0.00","$151.20","","Nov 21, 2022, 10:39 AM",
"11/21/2022","Invoice","1906","Fryman's Recycling #1","12/21/2022","$0.00","$151.20","","Nov 21, 2022, 10:39 AM",
"11/21/2022","Deposit","","","","$0.00","$235,292.36","","Nov 21, 2022, 12:03 PM",
"05/16/2022","Deposit","","","","$0.00","$34,580.38","","May 16, 2022, 10:28 AM",
"05/09/2022","Payment","66723","Fryman's Recycling #1","","$0.00","$108.65","","May 9, 2022, 10:15 AM",
"05/09/2022","Invoice","1426","Fryman's Recycling #1","06/08/2022","$0.00","$108.65","","May 9, 2022, 10:15 AM",
