Yard Name,Commodity Name,Commodity Type,Material Name,Material Code,Status,Effective Date,Gross Weight,Net Weight,Tare,Cost,Customer Name,Outbound Ticket Id,Employee Name,Sales Order,Currency,Account Manager,Driver,Carrier Name,Trailer #,Export?,Freight Cost,Created Date,Last Updated,Custom Sequence,Sequence,Notes,bridge_contract_id,bol_id,origin_country,destination_country,port_code,hs_code,duty_usd,tax_pct,price_per_ton,price_per_lb,dedupe_key,created_at_utc,updated_at_utc
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-09-24T11:27:55.948Z[UTC],64280,23040,41240,1816.2399,Lewis Salvage Corp.,213,Anthony Byers,,USD,Jim Byers,Tinsman,,,False,0.0,2025-09-24T11:28:54.261023Z[UTC],2025-09-24T11:31:17.195674Z[UTC],,,,,,,,,,,,157.65971354166666,0.07882985677083333,b21cb777d2ba748813cf455a39c139db6043d985d86992dd37838d09f58441cf,2025-09-24T11:28:54.261023Z,2025-09-24T11:31:17.195674Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-09-23T10:31:47.5Z[UTC],68300,27180,41120,2144.6274,Lewis Salvage Corp.,212,Anthony Byers,,USD,Jim Byers,Tinsman,,,False,0.0,2025-09-23T10:32:21.333932Z[UTC],2025-09-24T11:32:17.778902Z[UTC],,,,,,,,,,,,157.80922737306844,0.07890461368653422,e1ff99d7cab62b53e8a53797e38a733f0afd8eb8a9623b6eed89aafb0c0fbf31,2025-09-23T10:32:21.333932Z,2025-09-24T11:32:17.778902Z
Winski Brothers,Non-metallics,NON_FERROUS,Cardboard,OCC,SHIPPED,2025-09-22T14:40:32.199Z[UTC],47860,9160,38700,-1072.0,Werner & Son,211,Anthony Byers,,USD,,Gerry,,,False,0.0,2025-09-22T14:41:28.336319Z[UTC],2025-09-22T14:41:28.336319Z[UTC],,,,,,,,,,,,-234.06113537117903,-0.11703056768558952,4b6f13417260232e9366622bac0b56fdb75cb5cfd3c1a87ed215a6fda46758f3,2025-09-22T14:41:28.336319Z,2025-09-22T14:41:28.336319Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-09-22T11:09:20.715Z[UTC],67960,26760,41200,2112.2049,Lewis Salvage Corp.,210,Anthony Byers,,USD,Jim Byers,Tinsman,,,False,0.0,2025-09-22T11:09:49.939089Z[UTC],2025-09-22T14:27:47.801971Z[UTC],,,,,,,,,,,,157.8628475336323,0.07893142376681615,fa4d806ed86e665989de8a6a7dcd0a2e1801914f530adf5e9d883fc1efb27614,2025-09-22T11:09:49.939089Z,2025-09-22T14:27:47.801971Z
Winski Brothers,FERROUS,FERROUS,BUSHELING,BUSHELING,SHIPPED,2025-09-12T12:30:06.473Z[UTC],64040,22700,41340,-536625.36,Oscar Winski Company,209,Michelle Bright,,USD,,OW ,,,False,0.0,2025-09-12T12:30:38.254878Z[UTC],2025-09-12T13:34:53.52422Z[UTC],,,,,,,,,,,,-47279.76740088106,-23.639883700440528,d7aba32262915b8cc63f84464ddea0b5f2ae578c5022fa576275129a3038f824,2025-09-12T12:30:38.254878Z,2025-09-12T13:34:53.524220Z
Winski Brothers,ALUMINUM,NON_FERROUS,Old sheet Aluminum,Old sheet Aluminum,SHIPPED,2025-09-11T10:42:00.037Z[UTC],65060,8140,56920,3445.5032,"Newco Metals, Inc",208,Michelle Bright,,USD,,Newco,,,False,0.0,2025-09-11T10:42:40.559159Z[UTC],2025-09-11T11:25:31.719886Z[UTC],,,,,,,,,,,,846.5609828009827,0.4232804914004914,c01a675ab08a91493efef3897c10ad798c7acd6a00f5938f59ec86c94304d3b6,2025-09-11T10:42:40.559159Z,2025-09-11T11:25:31.719886Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-09-10T11:59:36.232Z[UTC],75160,33980,41180,2689.1788,Lewis Salvage Corp.,207,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-09-10T12:00:05.347097Z[UTC],2025-09-10T14:10:16.406677Z[UTC],,,,,,,,,,,,158.28009417304298,0.07914004708652149,117609c083cb838941209720bfd13c5c49bf8f9c80c816794d6411738865342b,2025-09-10T12:00:05.347097Z,2025-09-10T14:10:16.406677Z
Winski Brothers,FERROUS,FERROUS,BUSHELING,BUSHELING,SHIPPED,2025-09-10T11:37:10.319Z[UTC],68880,28740,40140,-679410.2575,Oscar Winski Company,206,Michelle Bright,,USD,,OW,,,False,0.0,2025-09-10T11:37:37.879141Z[UTC],2025-09-10T12:48:14.254108Z[UTC],,,,,,,,,,,,-47279.7673973556,-23.6398836986778,54e13664e0cd1808233b17aec5745f9113312406347ec0efd0a0b9256d81c8e2,2025-09-10T11:37:37.879141Z,2025-09-10T12:48:14.254108Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-09-10T07:47:05.629Z[UTC],70340,28960,41380,2292.6677,Lewis Salvage Corp.,205,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-09-10T07:47:39.764554Z[UTC],2025-09-10T08:27:09.810026Z[UTC],,,,,,,,,,,,158.33340469613262,0.0791667023480663,0e1260c1de39e4fa6b75a0a8ec62738b4e52cd048706a655fe063c86fa579cd7,2025-09-10T07:47:39.764554Z,2025-09-10T08:27:09.810026Z
Winski Brothers,FERROUS,FERROUS,CLIPS,CLIPS,SHIPPED,2025-09-09T14:01:55.178Z[UTC],71320,24320,47000,229201.6555,Mervis,204,Michelle Bright,,USD,,Ireland,,,False,0.0,2025-09-09T14:02:31.456295Z[UTC],2025-09-09T15:29:33.746802Z[UTC],,,,,,,,,,,,18848.820353618423,9.42441017680921,af385e9d055aa40ae1a46dc8b83c81a4b6e9ae8ef040248dec6bef802a989af9,2025-09-09T14:02:31.456295Z,2025-09-09T15:29:33.746802Z
