"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"09/19/2025","Deposit","","Lewis Salvage","","$0.00","$6,204.90","","Sep 19, 2025, 11:03 AM",
"09/19/2025","Payment","4994416","Lewis Salvage","","$0.00","$6,204.90","","Sep 19, 2025, 11:03 AM",
"09/12/2025","Deposit","","Lewis Salvage","","$0.00","$10,689.80","","Sep 12, 2025, 10:33 AM",
"09/12/2025","Payment","4973868","Lewis Salvage","","$0.00","$10,689.80","","Sep 12, 2025, 10:33 AM",
"09/10/2025","Invoice","4413","Lewis Salvage","10/10/2025","$3,644.25","$3,644.25","Greenspark 207","Sep 19, 2025, 8:01 AM",
"09/10/2025","Invoice","4410","Lewis Salvage","10/10/2025","$3,104.60","$3,104.60","Greenspark 205","Sep 19, 2025, 8:01 AM",
"09/08/2025","Invoice","4405","Lewis Salvage","10/08/2025","$3,091.85","$3,091.85","","Sep 9, 2025, 2:39 PM",
"09/08/2025","Invoice","4404","Lewis Salvage","10/08/2025","$4,085.00","$4,085.00","","Sep 19, 2025, 7:57 AM",
"09/05/2025","Deposit","","Lewis Salvage","","$0.00","$16,720.55","","Sep 5, 2025, 7:45 AM",
"09/05/2025","Payment","4944187","Lewis Salvage","","$0.00","$16,720.55","","Sep 5, 2025, 7:45 AM",
"09/03/2025","Invoice","4396","Lewis Salvage","10/03/2025","$0.00","$3,420.65","Greenspark 200","Sep 19, 2025, 7:54 AM",
"09/02/2025","Invoice","4390","Lewis Salvage","10/02/2025","$0.00","$2,784.25","Greenspark199","Sep 19, 2025, 7:54 AM",
"08/29/2025","Invoice","4386","Lewis Salvage","09/28/2025","$0.00","$3,506.65","Greenspark198","Sep 12, 2025, 7:44 AM",
"08/29/2025","Deposit","","Lewis Salvage","","$0.00","$19,689.70","","Aug 29, 2025, 8:35 AM",
"08/29/2025","Payment","4927582","Lewis Salvage","","$0.00","$19,689.70","","Aug 29, 2025, 8:35 AM",
"08/28/2025","Invoice","4381","Lewis Salvage","09/27/2025","$0.00","$3,289.50","Greenspark195","Sep 12, 2025, 7:44 AM",
"08/26/2025","Invoice","4376","Lewis Salvage","09/25/2025","$0.00","$3,893.65","Greenspark 192","Sep 12, 2025, 7:44 AM",
"08/22/2025","Invoice","4370","Lewis Salvage","09/21/2025","$0.00","$3,345.40","Greenspark 189","Sep 5, 2025, 7:44 AM",
"08/22/2025","Deposit","","Lewis Salvage","","$0.00","$11,094.00","","Aug 22, 2025, 7:23 AM",
"08/22/2025","Payment","4895992","Lewis Salvage","","$0.00","$8,425.85","","Aug 22, 2025, 7:23 AM",
"08/22/2025","Payment","4895992","Lewis Salvage","","$0.00","$2,668.15","","Aug 22, 2025, 7:23 AM",
"08/21/2025","Invoice","4365","Lewis Salvage","09/20/2025","$0.00","$3,130.40","Greenspark #186","Sep 5, 2025, 7:44 AM",
"08/19/2025","Invoice","4362","Lewis Salvage","09/18/2025","$0.00","$3,685.10","Greenspark #184","Sep 5, 2025, 7:44 AM",
"08/19/2025","Invoice","4359","Lewis Salvage","09/18/2025","$0.00","$3,123.95","Greenspark #183","Sep 5, 2025, 7:44 AM",
"08/18/2025","Invoice","4353","Lewis Salvage","09/17/2025","$0.00","$3,435.70","Greenspark #180","Sep 5, 2025, 7:44 AM",
"08/18/2025","Deposit","","Lewis Salvage","","$0.00","$16,000.03","","Aug 18, 2025, 7:49 AM",
"08/18/2025","Payment","4881947","Lewis Salvage","","$0.00","$16,000.03","","Aug 18, 2025, 7:49 AM",
"08/15/2025","Invoice","4347","Lewis Salvage","09/14/2025","$0.00","$2,889.60","Greenspark #175","Aug 29, 2025, 8:34 AM",
"08/14/2025","Invoice","4343","Lewis Salvage","09/13/2025","$0.00","$3,375.50","Greenspark #173","Aug 29, 2025, 8:34 AM",
"08/13/2025","Invoice","4341","Lewis Salvage","09/12/2025","$0.00","$3,377.65","Greenspark #172","Aug 29, 2025, 8:34 AM",
"08/13/2025","Invoice","4339","Lewis Salvage","09/12/2025","$0.00","$3,354.00","Greenspark #171","Aug 29, 2025, 8:34 AM",
"08/12/2025","Invoice","4338","Lewis Salvage","09/11/2025","$0.00","$3,854.95","Greenspark #170","Aug 29, 2025, 8:34 AM",
"08/12/2025","Invoice","4333","Lewis Salvage","09/11/2025","$0.00","$2,838.00","Greenspark #168","Aug 29, 2025, 8:34 AM",
"08/08/2025","Invoice","4325","Lewis Salvage","09/07/2025","$0.00","$4,846.10","Greenspark #167","Aug 22, 2025, 7:22 AM",
"08/07/2025","Invoice","4323","Lewis Salvage","09/06/2025","$0.00","$3,579.75","Greenspark #166","Aug 22, 2025, 7:22 AM",
"08/07/2025","Invoice","4322","Lewis Salvage","09/06/2025","$0.00","$2,668.15","Greenspark #165","Aug 22, 2025, 7:21 AM",
"08/01/2025","Invoice","4305","Lewis Salvage","08/31/2025","$0.00","$1,621.10","","Aug 18, 2025, 7:49 AM",
"07/31/2025","Invoice","4304","Lewis Salvage","08/30/2025","$0.00","$2,589.80","","Aug 18, 2025, 7:49 AM",
"07/31/2025","Invoice","4303","Lewis Salvage","08/30/2025","$0.00","$4,592.00","","Aug 18, 2025, 7:49 AM",
"07/31/2025","Invoice","4302","Lewis Salvage","08/30/2025","$0.00","$4,262.38","","Aug 18, 2025, 7:49 AM",
"07/30/2025","Invoice","4300","Lewis Salvage","08/29/2025","$0.00","$2,934.75","Green Spark #159","Aug 18, 2025, 7:49 AM",
