"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"09/19/2025","Deposit","","Mervis","","$0.00","$16,882.92","","Sep 19, 2025, 7:39 AM",
"09/19/2025","Payment","9079465","Mervis","","$0.00","$16,882.92","","Sep 19, 2025, 7:39 AM",
"09/15/2025","Invoice","4421","Mervis","10/15/2025","$12,774.60","$12,774.60","","Sep 19, 2025, 11:03 AM",
"09/12/2025","Deposit","","Mervis","","$0.00","$3,480.36","","Sep 12, 2025, 7:39 AM",
"09/12/2025","Payment","9079277","Mervis","","$0.00","$3,480.36","","Sep 12, 2025, 7:39 AM",
"09/09/2025","Invoice","4409","Mervis","10/09/2025","$3,256.45","$3,256.45","Greenspark 204","Sep 10, 2025, 11:44 AM",
"09/09/2025","Invoice","4407","Mervis","10/09/2025","$3,304.65","$3,304.65","Greenspark 203","Sep 10, 2025, 11:43 AM",
"09/09/2025","Deposit","","Mervis","","$0.00","$4,326.78","","Sep 9, 2025, 8:52 AM",
"09/09/2025","Payment","9079114","Mervis","","$0.00","$4,326.78","","Sep 9, 2025, 8:52 AM",
"09/05/2025","Deposit","","Mervis","","$0.00","$10,481.01","","Sep 5, 2025, 7:36 AM",
"09/05/2025","Payment","9079071","Mervis","","$0.00","$10,481.01","","Sep 5, 2025, 7:36 AM",
"09/03/2025","Invoice","4397","Mervis","10/03/2025","$0.00","$16,882.92","","Sep 19, 2025, 7:39 AM",
"09/02/2025","Deposit","","Mervis","","$0.00","$3,117.15","","Sep 2, 2025, 7:51 AM",
"09/02/2025","Payment","1133","Mervis","","$0.00","$3,117.15","","Sep 2, 2025, 7:51 AM",
"08/29/2025","Deposit","","Mervis","","$0.00","$3,597.15","","Aug 29, 2025, 9:05 AM",
"08/29/2025","Payment","1133","Mervis","","$0.00","$3,597.15","","Aug 29, 2025, 9:05 AM",
"08/28/2025","Invoice","4383","Mervis","09/27/2025","$0.00","$3,480.36","Greenspark 197","Sep 11, 2025, 3:57 PM",
"08/28/2025","Deposit","","Mervis","","$0.00","$21,169.31","","Aug 28, 2025, 7:58 AM",
"08/28/2025","Payment","9078823","Mervis","","$0.00","$21,169.31","","Aug 28, 2025, 7:58 AM",
"08/25/2025","Invoice","4372","Mervis","09/24/2025","$0.00","$4,326.78","Greenspark 191","Sep 9, 2025, 8:51 AM",
"08/18/2025","Invoice","4358","Mervis","09/17/2025","$0.00","$10,481.01","","Sep 4, 2025, 3:33 PM",
"08/18/2025","Invoice","4354","Mervis","09/17/2025","$0.00","$3,117.15","Greenspark 181","Sep 2, 2025, 7:50 AM",
"08/15/2025","Invoice","4348","Mervis","09/14/2025","$0.00","$3,597.15","Greenspark 176","Aug 29, 2025, 9:05 AM",
"08/06/2025","Deposit","","Mervis","","$0.00","$16,771.28","","Aug 6, 2025, 9:27 AM",
"08/06/2025","Payment","9078158","Mervis","","$0.00","$16,771.28","","Aug 6, 2025, 9:27 AM",
"08/05/2025","Invoice","4320","Mervis","09/04/2025","$0.00","$21,169.31","","Aug 28, 2025, 7:57 AM",
"07/17/2025","Invoice","4269","Mervis","08/16/2025","$0.00","$16,771.28","","Aug 5, 2025, 3:22 PM",
"11/25/2024","Invoice","3722","Mervis","12/25/2024","$0.00","$4,800.72","","Nov 25, 2024, 8:18 AM",
"11/25/2024","Payment","029297","Mervis","","$0.00","$4,800.72","","Nov 25, 2024, 10:38 AM",
"11/18/2024","Payment","029278","Mervis","","$0.00","$1,555.00","","Nov 18, 2024, 2:09 PM",
"11/16/2024","Payment","029274","Mervis","","$0.00","$2,488.00","","Nov 16, 2024, 10:21 AM",
"11/15/2024","Invoice","3714","Mervis","12/15/2024","$0.00","$4,043.00","","Nov 18, 2024, 1:49 PM",
"10/14/2024","Invoice","3633","Mervis","11/13/2024","$0.00","$3,034.10","","Oct 14, 2024, 2:42 PM",
"10/14/2024","Payment","029112","Mervis","","$0.00","$3,034.10","","Oct 15, 2024, 12:42 PM",
"08/02/2024","Deposit","","Mervis","","$0.00","$7,035.63","","Sep 18, 2024, 10:39 AM",
"08/02/2024","Payment","9068169","Mervis","","$0.00","$7,035.63","","Aug 2, 2024, 7:43 AM",
"07/25/2024","Deposit","","Mervis","","$0.00","$3,093.13","","Sep 17, 2024, 10:56 AM",
"07/25/2024","Payment","9067911","Mervis","","$0.00","$3,093.13","","Jul 25, 2024, 7:47 AM",
"07/19/2024","Invoice","3414","Mervis","08/18/2024","$0.00","$2,441.08","","Aug 1, 2024, 4:16 PM",
"07/18/2024","Invoice","3407","Mervis","08/17/2024","$0.00","$4,594.55","","Aug 1, 2024, 4:16 PM",
"07/10/2024","Invoice","3383","Mervis","08/09/2024","$0.00","$3,093.13","","Jul 25, 2024, 7:46 AM",
"07/05/2024","Deposit","","Mervis","","$0.00","$1,514.29","","Sep 17, 2024, 10:56 AM",
"07/05/2024","Payment","9067377","Mervis","","$0.00","$1,514.29","","Jul 4, 2024, 7:44 AM",
"06/21/2024","Deposit","","Mervis","","$0.00","$4,215.32","","Sep 17, 2024, 10:01 AM",
"06/21/2024","Payment","9066982","Mervis","","$0.00","$4,215.32","","Jun 21, 2024, 7:07 AM",
"06/20/2024","Deposit","","Mervis","","$0.00","$6,135.55","","Sep 17, 2024, 10:01 AM",
"06/20/2024","Payment","9066887","Mervis","","$0.00","$6,135.55","","Jun 19, 2024, 9:18 AM",
"06/14/2024","Deposit","","Mervis","","$0.00","$2,950.10","","Sep 17, 2024, 10:01 AM",
"06/14/2024","Payment","9066792","Mervis","","$0.00","$2,950.10","","Jun 13, 2024, 3:36 PM",
"06/13/2024","Deposit","","Mervis","","$0.00","$2,626.97","","Sep 17, 2024, 10:01 AM",
"06/13/2024","Payment","9066712","Mervis","","$0.00","$2,626.97","","Jun 12, 2024, 3:42 PM",
"06/06/2024","Invoice","3295","Mervis","07/06/2024","$0.00","$1,514.29","","Jul 4, 2024, 7:43 AM",
"06/04/2024","Invoice","3277","Mervis","07/04/2024","$0.00","$4,215.32","","Jun 21, 2024, 7:07 AM",
"06/03/2024","Invoice","3267","Mervis","07/03/2024","$0.00","$3,812.81","","Jun 19, 2024, 9:18 AM",
"05/22/2024","Deposit","","Mervis","","$0.00","$1,416.43","","Sep 17, 2024, 9:20 AM",
"05/22/2024","Payment","906617","Mervis","","$0.00","$1,416.43","","May 22, 2024, 7:25 AM",
"05/21/2024","Invoice","3238","Mervis","06/20/2024","$0.00","$2,322.74","","Jun 19, 2024, 9:18 AM",
"05/17/2024","Deposit","","Mervis","","$0.00","$4,637.41","","Sep 17, 2024, 9:20 AM",
"05/17/2024","Payment","9065916","Mervis","","$0.00","$4,637.41","","May 16, 2024, 3:44 PM",
"05/15/2024","Payment","028175","Mervis","","$0.00","$2,142.86","","May 15, 2024, 3:12 PM",
"05/15/2024","Invoice","3224","Mervis","06/14/2024","$0.00","$2,950.10","","Jun 13, 2024, 3:36 PM",
"05/15/2024","Invoice","3223","Mervis","06/14/2024","$0.00","$2,142.86","","May 15, 2024, 3:12 PM",
"05/14/2024","Invoice","3221","Mervis","06/13/2024","$0.00","$2,626.97","","Jun 12, 2024, 3:42 PM",
"05/07/2024","Invoice","3202","Mervis","06/06/2024","$0.00","$1,416.43","","May 22, 2024, 7:25 AM",
"05/02/2024","Invoice","3196","Mervis","06/01/2024","$0.00","$4,637.41","","May 31, 2024, 12:07 PM",
"04/30/2024","Payment","028078","Mervis","","$0.00","$1,480.70","","Apr 30, 2024, 1:03 PM",
"04/30/2024","Invoice","3180","Mervis","05/30/2024","$0.00","$1,480.70","","Apr 30, 2024, 1:04 PM",
"04/23/2024","Payment","28023","Mervis","","$0.00","$1,416.43","","Apr 23, 2024, 7:55 AM",
"04/23/2024","Invoice","3161","Mervis","05/23/2024","$0.00","$1,416.43","","Apr 23, 2024, 7:55 AM",
"04/19/2024","Payment","9065064","Mervis","","$0.00","$4,475.63","","Apr 19, 2024, 8:16 AM",
"04/18/2024","Deposit","","Mervis","","$0.00","$4,475.63","","Sep 16, 2024, 11:46 AM",
"04/03/2024","Invoice","3122","Mervis","05/03/2024","$0.00","$4,475.63","","Apr 19, 2024, 8:16 AM",
"03/29/2024","Deposit","","Mervis","","$0.00","$6,426.98","","Sep 16, 2024, 10:46 AM",
"03/29/2024","Payment","027885","Mervis","","$0.00","$3,562.24","","Mar 29, 2024, 11:00 AM",
"03/29/2024","Deposit","","Mervis","","$0.00","$1,043.57","","Sep 16, 2024, 10:46 AM",
"03/29/2024","Payment","097643","Mervis","","$0.00","$1,043.57","","Mar 29, 2024, 8:25 AM",
"03/29/2024","Invoice","3106","Mervis","04/28/2024","$0.00","$3,562.24","","Mar 29, 2024, 11:00 AM",
"03/28/2024","Payment","027865","Mervis","","$0.00","$2,864.74","","Mar 28, 2024, 8:47 AM",
"03/28/2024","Invoice","3104","Mervis","04/27/2024","$0.00","$2,864.74","","Mar 28, 2024, 8:47 AM",
"03/27/2024","Deposit","","Mervis","","$0.00","$1,774.30","","Sep 16, 2024, 10:46 AM",
"03/27/2024","Deposit","","Mervis","","$0.00","$1,262.14","","Sep 16, 2024, 10:46 AM",
"03/27/2024","Payment","ACH","Mervis","","$0.00","$1,774.30","","Mar 27, 2024, 8:13 AM",
"03/27/2024","Payment","ACH","Mervis","","$0.00","$1,262.14","","Mar 27, 2024, 8:12 AM",
"03/26/2024","Payment","027844","Mervis","","$0.00","$1,677.86","","Mar 26, 2024, 8:17 AM",
"03/26/2024","Invoice","3096","Mervis","04/25/2024","$0.00","$1,677.86","","Mar 26, 2024, 8:17 AM",
"03/25/2024","Deposit","","Mervis","","$0.00","$1,067.14","","Sep 16, 2024, 10:46 AM",
"03/25/2024","Payment","9064375","Mervis","","$0.00","$1,067.14","","Mar 25, 2024, 8:50 AM",
"03/22/2024","Deposit","","Mervis","","$0.00","$1,110.00","","Sep 16, 2024, 10:46 AM",
"03/22/2024","Payment","97469","Mervis","","$0.00","$1,110.00","","Mar 22, 2024, 8:28 AM",
"03/21/2024","Payment","027820","Mervis","","$0.00","$2,078.57","","Mar 21, 2024, 1:34 PM",
"03/21/2024","Invoice","3086","Mervis","04/20/2024","$0.00","$2,078.57","","Mar 21, 2024, 1:34 PM",
"03/20/2024","Payment","027808","Mervis","","$0.00","$4,309.14","","Mar 20, 2024, 11:37 AM",
"03/20/2024","Invoice","3081","Mervis","04/19/2024","$0.00","$4,309.14","","Mar 20, 2024, 11:37 AM",
"03/19/2024","Payment","27803","Mervis","","$0.00","$3,901.56","","Mar 19, 2024, 12:32 PM",
"03/19/2024","Invoice","3077","Mervis","04/18/2024","$0.00","$3,901.56","","Mar 19, 2024, 12:32 PM",
"03/19/2024","Deposit","","Mervis","","$0.00","$1,459.30","","Sep 16, 2024, 10:46 AM",
"03/19/2024","Payment","027801","Mervis","","$0.00","$1,459.30","","Mar 19, 2024, 10:15 AM",
"03/19/2024","Invoice","3076","Mervis","04/18/2024","$0.00","$1,459.30","","Mar 19, 2024, 10:15 AM",
"03/15/2024","Payment","0277780","Mervis","","$0.00","$1,517.14","","Mar 15, 2024, 4:01 PM",
"03/15/2024","Invoice","3068","Mervis","04/14/2024","$0.00","$1,517.14","","Mar 15, 2024, 4:01 PM",
"03/15/2024","Payment","027774","Mervis","","$0.00","$1,737.86","","Mar 15, 2024, 2:03 PM",
"03/15/2024","Invoice","3067","Mervis","04/14/2024","$0.00","$1,737.86","","Mar 15, 2024, 2:03 PM",
"03/15/2024","Payment","027772","Mervis","","$0.00","$1,733.57","","Mar 15, 2024, 11:59 AM",
"03/15/2024","Invoice","3066","Mervis","04/14/2024","$0.00","$1,733.57","","Mar 15, 2024, 11:59 AM",
"03/14/2024","Invoice","3064","Mervis","04/13/2024","$0.00","$1,043.57","","Mar 29, 2024, 8:25 AM",
"03/12/2024","Invoice","3057","Mervis","04/11/2024","$0.00","$1,262.14","","Mar 27, 2024, 8:12 AM",
"03/12/2024","Invoice","3056","Mervis","04/11/2024","$0.00","$1,774.30","","Mar 27, 2024, 8:13 AM",
"03/08/2024","Invoice","3050","Mervis","04/07/2024","$0.00","$1,067.14","","Mar 25, 2024, 8:50 AM",
"03/07/2024","Invoice","3043","Mervis","04/06/2024","$0.00","$1,110.00","","Mar 22, 2024, 8:28 AM",
"02/27/2024","Deposit","","Mervis","","$0.00","$4,153.14","","Sep 16, 2024, 9:22 AM",
"02/27/2024","Payment","ACH","Mervis","","$0.00","$4,153.14","","Feb 27, 2024, 8:29 AM",
"02/26/2024","Deposit","","Mervis","","$0.00","$3,737.51","","Sep 16, 2024, 9:22 AM",
"02/26/2024","Payment","027680","Mervis","","$0.00","$3,737.51","","Feb 26, 2024, 1:37 PM",
"02/26/2024","Invoice","3006","Mervis","03/27/2024","$0.00","$3,737.51","","Feb 26, 2024, 1:37 PM",
"02/12/2024","Invoice","2984","Mervis","03/13/2024","$0.00","$4,153.14","","Feb 27, 2024, 8:29 AM",
"01/23/2024","Deposit","","Mervis","","$0.00","$5,205.37","","Sep 11, 2024, 10:20 AM",
"01/23/2024","Payment","027536","Mervis","","$0.00","$5,205.37","","Jan 23, 2024, 2:52 PM",
"01/23/2024","Invoice","2933","Mervis","02/22/2024","$0.00","$5,205.37","","Jan 23, 2024, 2:52 PM",
"01/22/2024","Deposit","","Mervis","","$0.00","$3,069.11","","Sep 11, 2024, 10:20 AM",
"01/22/2024","Payment","027531","Mervis","","$0.00","$3,069.11","","Jan 22, 2024, 11:29 AM",
"01/22/2024","Invoice","2932","Mervis","02/21/2024","$0.00","$3,069.11","","Jan 22, 2024, 11:29 AM",
"01/18/2024","Payment","027521","Mervis","","$0.00","$5,223.85","","Jan 18, 2024, 3:27 PM",
"01/18/2024","Invoice","2929","Mervis","02/17/2024","$0.00","$5,223.85","","Jan 18, 2024, 3:27 PM",
"01/17/2024","Payment","027517","Mervis","","$0.00","$4,934.64","","Jan 17, 2024, 3:25 PM",
"01/17/2024","Invoice","2925","Mervis","02/16/2024","$0.00","$4,934.64","","Jan 17, 2024, 3:25 PM",
"01/02/2024","Deposit","","Mervis","","$0.00","$2,764.14","","Sep 11, 2024, 10:20 AM",
"01/02/2024","Payment","1133","Mervis","","$0.00","$2,764.14","","Jan 2, 2024, 7:33 AM",
"12/27/2023","Invoice","2878","Mervis","01/26/2024","$0.00","$2,764.14","","Jan 2, 2024, 7:33 AM",
"12/26/2023","Payment","027432","Mervis","","$0.00","$5,487.40","","Dec 26, 2023, 3:15 PM",
"12/26/2023","Invoice","2875","Mervis","01/25/2024","$0.00","$5,487.40","","Dec 26, 2023, 3:15 PM",
"12/14/2023","Payment","027358","Mervis","","$0.00","$6,044.11","","Dec 14, 2023, 9:58 AM",
"12/14/2023","Invoice","2863","Mervis","01/13/2024","$0.00","$6,044.11","","Dec 14, 2023, 9:58 AM",
"12/12/2023","Payment","027343","Mervis","","$0.00","$5,597.86","","Dec 12, 2023, 2:10 PM",
"12/12/2023","Invoice","2859","Mervis","01/11/2024","$0.00","$5,597.86","","Dec 12, 2023, 2:10 PM",
"11/29/2023","Deposit","","Mervis","","$0.00","$2,342.81","","Nov 29, 2023, 8:22 AM",
"11/29/2023","Payment","9061344","Mervis","","$0.00","$2,342.81","","Nov 29, 2023, 8:22 AM",
"11/27/2023","Deposit","","Mervis","","$0.00","$2,688.75","","Nov 27, 2023, 8:06 AM",
"11/27/2023","Payment","9061293","Mervis","","$0.00","$2,688.75","","Nov 27, 2023, 8:06 AM",
"11/27/2023","Deposit","","Mervis","","$0.00","$7,834.12","","Nov 27, 2023, 8:04 AM",
"11/27/2023","Payment","9061293","Mervis","","$0.00","$7,834.12","","Nov 27, 2023, 8:04 AM",
"11/17/2023","Deposit","","Mervis","","$0.00","$2,305.73","","Nov 17, 2023, 9:20 AM",
"11/16/2023","Payment","027211","Mervis","","$0.00","$2,305.73","","Nov 16, 2023, 3:21 PM",
"11/16/2023","Invoice","2791","Mervis","12/16/2023","$0.00","$2,305.73","","Nov 16, 2023, 3:21 PM",
"11/15/2023","Payment","27199","Mervis","","$0.00","$4,254.63","","Nov 15, 2023, 11:45 AM",
"11/15/2023","Invoice","2788","Mervis","12/15/2023","$0.00","$4,254.63","","Nov 15, 2023, 11:45 AM",
"11/14/2023","Invoice","2786","Mervis","12/14/2023","$0.00","$2,342.81","","Nov 29, 2023, 8:22 AM",
"11/10/2023","Deposit","","Mervis","","$0.00","$141.33","","Nov 10, 2023, 8:32 AM",
"11/10/2023","Payment","9060928","Mervis","","$0.00","$141.33","","Nov 10, 2023, 8:31 AM",
"11/10/2023","Invoice","2777","Mervis","12/10/2023","$0.00","$141.33","","Nov 10, 2023, 8:31 AM",
"11/10/2023","Deposit","","Mervis","","$0.00","$2,890.71","","Nov 10, 2023, 8:25 AM",
"11/10/2023","Payment","9060928","Mervis","","$0.00","$2,890.71","","Nov 10, 2023, 8:25 AM",
"11/07/2023","Invoice","2767","Mervis","12/07/2023","$0.00","$2,688.75","","Nov 27, 2023, 8:06 AM",
"11/03/2023","Deposit","","Mervis","","$0.00","$309.46","","Nov 3, 2023, 8:32 AM",
"11/03/2023","Payment","ACH","Mervis","","$0.00","$309.46","","Nov 3, 2023, 8:31 AM",
