"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"08/29/2023","Invoice","2586","Mervis","09/28/2023","$0.00","$3,850.67","","Sep 28, 2023, 8:10 AM",
"08/25/2023","Invoice","2573","Mervis","09/24/2023","$0.00","$5,362.50","","Sep 22, 2023, 8:00 AM",
"08/25/2023","Deposit","","Mervis","","$0.00","$2,794.42","","Aug 25, 2023, 8:48 AM",
"08/25/2023","Payment","9058724","Mervis","","$0.00","$2,794.42","","Aug 25, 2023, 8:47 AM",
"08/18/2023","Deposit","","Mervis","","$0.00","$3,943.53","","Aug 17, 2023, 3:41 PM",
"08/18/2023","Payment","9058509","Mervis","","$0.00","$3,943.53","","Aug 17, 2023, 3:40 PM",
"08/11/2023","Deposit","","Mervis","","$0.00","$7,382.15","","Aug 11, 2023, 7:50 AM",
"08/11/2023","Payment","9058331","Mervis","","$0.00","$7,382.15","","Aug 11, 2023, 7:49 AM",
"08/04/2023","Invoice","2524","Mervis","09/03/2023","$0.00","$4,761.83","","Sep 6, 2023, 8:21 AM",
"07/28/2023","Invoice","2495","Mervis","08/27/2023","$0.00","$2,794.42","","Aug 25, 2023, 8:47 AM",
"07/27/2023","Deposit","","Mervis","","$0.00","$5,059.29","","Jul 27, 2023, 8:07 AM",
"07/27/2023","Payment","9057868","Mervis","","$0.00","$5,059.29","","Jul 27, 2023, 8:07 AM",
"07/21/2023","Payment","026648","Mervis","","$0.00","$836.84","","Jul 21, 2023, 3:49 PM",
"07/21/2023","Invoice","2482","Mervis","08/20/2023","$0.00","$836.84","","Jul 21, 2023, 3:49 PM",
"07/21/2023","Deposit","","Mervis","","$0.00","$4,933.93","","Jul 21, 2023, 9:18 AM",
"07/21/2023","Payment","9057749","Mervis","","$0.00","$4,933.93","","Jul 21, 2023, 9:17 AM",
"07/20/2023","Payment","026645","Mervis","","$0.00","$1,578.44","","Jul 21, 2023, 9:50 AM",
"07/20/2023","Invoice","2478","Mervis","08/19/2023","$0.00","$3,943.53","","Aug 17, 2023, 3:40 PM",
"07/20/2023","Invoice","2476","Mervis","08/19/2023","$0.00","$1,578.44","","Jul 21, 2023, 9:50 AM",
"07/10/2023","Invoice","2455","Mervis","08/09/2023","$0.00","$4,773.44","","Aug 11, 2023, 7:49 AM",
"07/07/2023","Invoice","2453","Mervis","08/06/2023","$0.00","$2,608.71","","Aug 11, 2023, 7:49 AM",
"06/29/2023","Payment","026536","Mervis","","$0.00","$1,802.19","","Jun 29, 2023, 2:36 PM",
