"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"09/13/2025","Payment","102648","Newco Metals, Inc","","$0.00","$7,934.08","","Sep 15, 2025, 1:38 PM",
"09/11/2025","Invoice","4415","Newco Metals, Inc","10/11/2025","$5,942.20","$5,942.20","Greenspark 208","Sep 11, 2025, 11:25 AM",
"09/08/2025","Payment","102619","Newco Metals, Inc","","$0.00","$5,342.40","","Sep 8, 2025, 10:43 AM",
"08/26/2025","Invoice","4377","Newco Metals, Inc","09/25/2025","$5,416.60","$5,416.60","Greenspark 194","Aug 26, 2025, 11:58 AM",
"08/25/2025","Payment","102559","Newco Metals, Inc","","$0.00","$6,537.60","","Aug 25, 2025, 11:39 AM",
"08/21/2025","Invoice","4368","Newco Metals, Inc","09/20/2025","$0.00","$7,934.08","Greenspark 188","Sep 13, 2025, 10:52 AM",
"08/15/2025","Invoice","4350","Newco Metals, Inc","09/14/2025","$0.00","$5,342.40","Greenspark 178","Sep 8, 2025, 10:30 AM",
"08/04/2025","Payment","102373","Newco Metals, Inc","","$0.00","$4,467.60","","Aug 4, 2025, 10:17 AM",
"08/01/2025","Invoice","4306","Newco Metals, Inc","08/31/2025","$0.00","$6,537.60","","Aug 25, 2025, 11:22 AM",
"07/28/2025","Payment","102311","Newco Metals, Inc","","$0.00","$5,871.49","","Jul 28, 2025, 1:06 PM",
"07/15/2025","Invoice","4263","Newco Metals, Inc","08/14/2025","$0.00","$4,467.60","Green Spark 150","Aug 4, 2025, 9:50 AM",
"07/12/2025","Payment","102236","Newco Metals, Inc","","$0.00","$7,840.20","","Jul 16, 2025, 10:07 AM",
"07/07/2025","Payment","102180","Newco Metals, Inc","","$0.00","$8,993.60","","Jul 7, 2025, 10:29 AM",
"06/19/2025","Invoice","4197","Newco Metals, Inc","07/19/2025","$0.00","$5,871.49","","Jul 28, 2025, 1:02 PM",
"06/18/2025","Deposit","","Newco Metals, Inc","","$0.00","$4,902.40","","Jun 18, 2025, 12:32 PM",
"06/18/2025","Payment","102063","Newco Metals, Inc","","$0.00","$4,902.40","","Jun 18, 2025, 12:32 PM",
"06/11/2025","Invoice","4178","Newco Metals, Inc","07/11/2025","$0.00","$7,840.20","Green Spark 127","Jul 12, 2025, 9:50 AM",
"06/02/2025","Payment","102019","Newco Metals, Inc","","$0.00","$9,125.00","","Jun 2, 2025, 3:34 PM",
"05/29/2025","Invoice","4137","Newco Metals, Inc","06/28/2025","$0.00","$8,993.60","","Jul 7, 2025, 10:17 AM",
"05/02/2025","Invoice","4085","Newco Metals, Inc","06/01/2025","$0.00","$9,125.00","GreenSpark #90","Jun 2, 2025, 1:08 PM",
"04/30/2025","Invoice","4080","Newco Metals, Inc","05/30/2025","$0.00","$4,902.40","","Jun 18, 2025, 12:31 PM",
"04/21/2025","Payment","101683","Newco Metals, Inc","","$0.00","$7,113.60","","Apr 21, 2025, 3:13 PM",
"03/26/2025","Invoice","3992","Newco Metals, Inc","04/25/2025","$0.00","$7,113.60","GreenSpark #60","Apr 21, 2025, 11:00 AM",
"03/10/2025","Payment","101401","Newco Metals, Inc","","$0.00","$26,256.72","","Mar 10, 2025, 3:20 PM",
"02/14/2025","Invoice","3903","Newco Metals, Inc","03/16/2025","$0.00","$9,416.06","GreenSpark #34","Mar 10, 2025, 11:22 AM",
"02/13/2025","Invoice","3902","Newco Metals, Inc","03/15/2025","$0.00","$10,124.40","GreenSpark #32","Mar 10, 2025, 11:22 AM",
"02/07/2025","Invoice","3883","Newco Metals, Inc","03/09/2025","$0.00","$6,716.26","Carrier Pro #43205","Mar 10, 2025, 11:22 AM",
"01/21/2025","Payment","101123","Newco Metals, Inc","","$0.00","$7,320.00","","Jan 21, 2025, 12:04 PM",
"01/15/2025","Deposit","","Newco Metals, Inc","","$0.00","$5,331.73","","Feb 5, 2025, 7:54 AM",
"01/14/2025","Payment","101085","Newco Metals, Inc","","$0.00","$5,331.73","","Jan 15, 2025, 11:45 AM",
"12/19/2024","Invoice","3789","Newco Metals, Inc","01/18/2025","$0.00","$7,320.00","","Jan 21, 2025, 10:40 AM",
"12/09/2024","Payment","100904","Newco Metals, Inc","","$0.00","$3,813.19","","Dec 9, 2024, 2:56 PM",
"12/03/2024","Invoice","3738","Newco Metals, Inc","01/02/2025","$0.00","$5,331.73","","Jan 14, 2025, 10:21 AM",
"11/25/2024","Payment","100843","Newco Metals, Inc","","$0.00","$9,855.60","","Nov 25, 2024, 10:38 AM",
"11/25/2024","Invoice","3733","Newco Metals, Inc","12/25/2024","$0.00","$9,855.60","","Nov 25, 2024, 10:30 AM",
"11/22/2024","Payment","0000100794","Newco Metals, Inc","","$0.00","$17,487.80","","Nov 22, 2024, 10:37 AM",
