"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"09/12/2025","Invoice","4420","Oscar Winski Company","10/12/2025","$3,749.56","$3,749.56","GreenSpark 209","Sep 12, 2025, 1:50 PM",
"09/10/2025","Invoice","4412","Oscar Winski Company","10/10/2025","$4,747.24","$4,747.24","GreenSpark 206","Sep 10, 2025, 12:53 PM",
"09/09/2025","Deposit","","Oscar Winski Company","","$0.00","$14,344.12","","Sep 9, 2025, 2:36 PM",
"09/09/2025","Payment","","Oscar Winski Company","","$0.00","$14,344.12","","Sep 9, 2025, 2:36 PM",
"08/22/2025","Invoice","4371","Oscar Winski Company","09/21/2025","$0.00","$2,041.61","GreenSpark 190","Sep 15, 2025, 11:24 AM",
"08/18/2025","Payment","173000","Oscar Winski Company","","$0.00","$7,551.96","","Aug 18, 2025, 9:27 AM",
"08/18/2025","Deposit","","","","$0.00","$13,213.06","","Aug 18, 2025, 9:28 AM",
"08/16/2025","Payment","173000","Oscar Winski Company","","$0.00","$3,723.13","","Aug 18, 2025, 9:27 AM",
"08/15/2025","Invoice","4351","Oscar Winski Company","09/14/2025","$0.00","$4,449.92","GreenSpark 179","Sep 15, 2025, 11:22 AM",
"08/14/2025","Invoice","4345","Oscar Winski Company","09/13/2025","$0.00","$5,037.96","GreenSpark 174","Sep 15, 2025, 11:22 AM",
"08/12/2025","Invoice","4336","Oscar Winski Company","09/11/2025","$0.00","$2,814.63","GreenSpark 169","Sep 15, 2025, 11:22 AM",
"07/29/2025","Invoice","4296","Oscar Winski Company","08/28/2025","$0.00","$3,723.13","GreenSpark 158","Aug 16, 2025, 12:59 PM",
"07/16/2025","Payment","172945","Oscar Winski Company","","$0.00","$13,584.29","","Jul 16, 2025, 10:55 AM",
"07/16/2025","Deposit","","","","$0.00","$18,347.13","","Jul 16, 2025, 10:56 AM",
"07/11/2025","Invoice","4254","Oscar Winski Company","08/10/2025","$0.00","$4,116.25","GreenSpark 146","Aug 18, 2025, 8:59 AM",
"07/08/2025","Invoice","4243","Oscar Winski Company","08/07/2025","$0.00","$3,435.71","GreenSpark 144","Aug 18, 2025, 8:59 AM",
"06/17/2025","Invoice","4191","Oscar Winski Company","07/17/2025","$0.00","$4,942.13","GreenSpark 133","Jul 16, 2025, 9:58 AM",
"06/12/2025","Invoice","4180","Oscar Winski Company","07/12/2025","$0.00","$4,634.92","GreenSpark 128","Jul 16, 2025, 9:58 AM",
"06/11/2025","Invoice","4177","Oscar Winski Company","07/11/2025","$0.00","$4,007.24","GreenSpark 126","Jul 16, 2025, 9:58 AM",
"02/08/2025","Payment","171702","Oscar Winski Company","","$0.00","$6,140.61","","Feb 8, 2025, 10:55 AM",
"02/08/2025","Deposit","","","","$0.00","$9,804.43","","Mar 11, 2025, 3:02 PM",
"01/17/2025","Deposit","","","","$0.00","$5,782.11","","Feb 5, 2025, 7:54 AM",
"01/16/2025","Payment","171670","Oscar Winski Company","","$0.00","$2,852.16","","Jan 20, 2025, 5:01 PM",
"01/13/2025","Invoice","3829","Oscar Winski Company","02/12/2025","$0.00","$6,140.61","","Feb 8, 2025, 10:39 AM",
"12/18/2024","Invoice","3783","Oscar Winski Company","01/17/2025","$0.00","$2,852.16","","Jan 16, 2025, 11:00 AM",
"12/09/2024","Payment","171523","Oscar Winski Company","","$0.00","$2,156.78","","Dec 9, 2024, 2:56 PM",
"12/09/2024","Deposit","","","","$0.00","$8,268.37","","Jan 10, 2025, 11:52 AM",
"11/20/2024","Invoice","3723","Oscar Winski Company","12/20/2024","$0.00","$2,156.78","","Dec 9, 2024, 2:07 PM",
"11/12/2024","Deposit","","","","$0.00","$5,721.97","","Dec 4, 2024, 10:28 AM",
"11/09/2024","Payment","160860","Oscar Winski Company","","$0.00","$2,260.00","","Nov 12, 2024, 2:11 PM",
"10/14/2024","Invoice","3634","Oscar Winski Company","11/13/2024","$0.00","$2,260.00","","Nov 9, 2024, 10:30 AM",
"10/07/2024","Payment","160719","Oscar Winski Company","","$0.00","$6,713.49","","Oct 7, 2024, 12:06 PM",
"10/07/2024","Deposit","","","","$0.00","$12,684.85","","Nov 21, 2024, 11:35 AM",
"09/24/2024","Invoice","3586","Oscar Winski Company","10/24/2024","$0.00","$2,497.15","","Oct 7, 2024, 11:18 AM",
"09/20/2024","Invoice","3587","Oscar Winski Company","10/20/2024","$0.00","$4,216.34","","Oct 7, 2024, 11:18 AM",
"09/09/2024","Deposit","","","","$0.00","$5,273.82","","Oct 7, 2024, 2:14 PM",
"09/07/2024","Payment","160571","Oscar Winski Company","","$0.00","$2,002.85","","Sep 9, 2024, 3:41 PM",
"08/23/2024","Deposit","","Oscar Winski Company","","$0.00","$9,825.00","","Sep 18, 2024, 10:39 AM",
"08/23/2024","Payment","","Oscar Winski Company","","$0.00","$9,825.00","","Aug 26, 2024, 7:54 AM",
"08/22/2024","Invoice","3517","Oscar Winski Company","09/21/2024","$0.00","$9,825.00","","Aug 23, 2024, 7:53 AM",
"08/16/2024","Deposit","","Oscar Winski Company","","$0.00","$3,020.58","","Sep 18, 2024, 10:39 AM",
