"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"06/28/2022","Invoice","1545","Oscar Winski Company","07/28/2022","$0.00","$7,043.55","","Jul 11, 2022, 11:31 AM",
"06/17/2022","Invoice","1530","Oscar Winski Company","07/17/2022","$0.00","$6,687.30","","Jul 11, 2022, 11:31 AM",
"06/08/2022","Payment","156563","Oscar Winski Company","","$0.00","$26,433.45","","Jun 8, 2022, 11:50 AM",
"06/08/2022","Deposit","","","","$0.00","$31,920.82","","Jun 8, 2022, 11:58 AM",
"05/19/2022","Invoice","1460","Oscar Winski Company","06/18/2022","$0.00","$8,811.14","","Jun 8, 2022, 11:50 AM",
"05/17/2022","Invoice","1454","Oscar Winski Company","06/16/2022","$0.00","$8,183.44","","Jun 8, 2022, 11:50 AM",
"05/09/2022","Payment","156329","Oscar Winski Company","","$0.00","$9,633.72","","May 9, 2022, 9:50 AM",
"05/09/2022","Deposit","","","","$0.00","$9,783.72","","May 9, 2022, 10:07 AM",
"05/04/2022","Invoice","1418","Oscar Winski Company","06/03/2022","$0.00","$9,438.87","","Jun 8, 2022, 11:50 AM",
"04/18/2022","Payment","156299","Oscar Winski Company","","$0.00","$10,748.56","","Apr 18, 2022, 10:30 AM",
"04/18/2022","Deposit","","","","$0.00","$31,560.73","","Apr 18, 2022, 12:04 PM",
"04/15/2022","Invoice","1360","Oscar Winski Company","05/15/2022","$0.00","$9,633.72","","May 9, 2022, 9:50 AM",
"03/16/2022","Invoice","1279","Oscar Winski Company","04/15/2022","$0.00","$10,748.56","","Apr 18, 2022, 10:30 AM",
"03/07/2022","Payment","156240","Oscar Winski Company","","$0.00","$11,699.17","","Mar 7, 2022, 10:07 AM",
"03/07/2022","Deposit","","","","$0.00","$13,391.71","","Mar 7, 2022, 10:13 AM",
"02/22/2022","Invoice","1223","Oscar Winski Company","03/24/2022","$0.00","$6,424.27","","Mar 7, 2022, 10:07 AM",
"02/16/2022","Invoice","1215","Oscar Winski Company","03/18/2022","$0.00","$5,274.90","","Mar 7, 2022, 10:07 AM",
"02/10/2022","Payment","156104","Oscar Winski Company","","$0.00","$6,325.90","","Feb 10, 2022, 9:59 AM",
"02/10/2022","Deposit","","","","$0.00","$21,339.70","","Mar 22, 2022, 5:37 PM",
"01/18/2022","Invoice","1173","Oscar Winski Company","02/17/2022","$0.00","$6,325.90","","Feb 10, 2022, 9:59 AM",
"12/16/2021","Payment","148830","Oscar Winski Company","","$0.00","$5,592.83","","Dec 16, 2021, 9:42 AM",
"12/16/2021","Deposit","","","","$0.00","$6,719.70","","Dec 16, 2021, 11:01 AM",
"11/16/2021","Invoice","1038","Oscar Winski Company","12/16/2021","$0.00","$5,592.83","","Dec 16, 2021, 9:42 AM",
"10/08/2021","Payment","","Oscar Winski Company","","$0.00","$6,030.02","","Oct 8, 2021, 10:00 AM",
"10/08/2021","Deposit","","","","$0.00","$9,449.56","","Feb 24, 2022, 5:27 PM",
"09/23/2021","Invoice","1013","Oscar Winski Company","10/23/2021","$0.00","$6,030.02","","Oct 8, 2021, 10:00 AM",
