"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"08/23/2025","Deposit","","Rochester Iron & Metal","","$0.00","$69,431.33","","Aug 23, 2025, 12:59 PM",
"08/23/2025","Payment","1035","Rochester Iron & Metal","","$0.00","$69,431.33","","Aug 23, 2025, 12:59 PM",
"08/23/2025","Invoice","4228","Rochester Iron & Metal","09/22/2025","$0.00","$1,791.80","","Aug 23, 2025, 12:59 PM",
"08/08/2025","Payment","088114 bounced","Rochester Iron & Metal","","$0.00","$0.00","","Aug 12, 2025, 10:24 AM",
"07/26/2025","Deposit","","Rochester Iron & Metal","","$0.00","$3,231.45","","Jul 26, 2025, 12:06 PM",
"07/26/2025","Payment","Batch 4810499","Rochester Iron & Metal","","$0.00","$3,231.45","","Jul 26, 2025, 12:06 PM",
"07/25/2025","Invoice","4292","Rochester Iron & Metal","08/24/2025","$3,921.60","$3,921.60","Green Spark #157","Jul 25, 2025, 9:42 AM",
"07/22/2025","Invoice","4288","Rochester Iron & Metal","08/21/2025","$0.00","$3,141.15","Green Spark #156","Aug 23, 2025, 12:59 PM",
"07/22/2025","Invoice","4286","Rochester Iron & Metal","08/21/2025","$3,781.85","$3,781.85","Green Spark #155","Jul 22, 2025, 10:51 AM",
"07/21/2025","Invoice","4282","Rochester Iron & Metal","08/20/2025","$0.00","$4,364.60","Green Spark #154","Aug 23, 2025, 12:59 PM",
"07/21/2025","Invoice","4281","Rochester Iron & Metal","08/20/2025","$0.00","$4,403.20","Green Spark #153","Aug 23, 2025, 12:59 PM",
"07/18/2025","Deposit","","Rochester Iron & Metal","","$0.00","$16,708.94","","Jul 18, 2025, 7:37 AM",
"07/18/2025","Payment","Batch 4788059","Rochester Iron & Metal","","$0.00","$16,708.94","","Jul 18, 2025, 7:37 AM",
"07/17/2025","Invoice","4268","Rochester Iron & Metal","08/16/2025","$0.00","$3,594.28","Green Spark #152","Aug 23, 2025, 12:59 PM",
"07/17/2025","Invoice","4267","Rochester Iron & Metal","08/16/2025","$0.00","$3,975.35","Green Spark #151","Aug 23, 2025, 12:59 PM",
"07/15/2025","Invoice","4261","Rochester Iron & Metal","08/14/2025","$0.00","$3,668.98","Green Spark #149","Aug 23, 2025, 12:59 PM",
"07/15/2025","Invoice","4259","Rochester Iron & Metal","08/14/2025","$0.00","$3,201.35","Green Spark #148","Aug 23, 2025, 12:59 PM",
"07/14/2025","Invoice","4255","Rochester Iron & Metal","08/13/2025","$0.00","$3,805.50","Green Spark #147","Aug 23, 2025, 12:59 PM",
"07/11/2025","Deposit","","Rochester Iron & Metal","","$0.00","$23,846.10","","Jul 11, 2025, 7:26 AM",
"07/11/2025","Payment","Batch 4758379","Rochester Iron & Metal","","$0.00","$23,846.10","","Jul 11, 2025, 7:26 AM",
"07/08/2025","Invoice","4246","Rochester Iron & Metal","08/07/2025","$0.00","$3,231.45","Green Spark #145","Aug 23, 2025, 12:59 PM",
"07/08/2025","Invoice","4241","Rochester Iron & Metal","08/07/2025","$0.00","$4,654.28","Green Spark #143","Aug 23, 2025, 12:59 PM",
"07/07/2025","Deposit","","Rochester Iron & Metal","","$0.00","$12,110.21","","Jul 7, 2025, 11:52 AM",
"07/07/2025","Payment","Batch 4743874","Rochester Iron & Metal","","$0.00","$12,110.21","","Jul 7, 2025, 11:52 AM",
"07/03/2025","Invoice","4238","Rochester Iron & Metal","08/02/2025","$0.00","$3,818.40","Green Spark #142","Aug 23, 2025, 12:59 PM",
"07/03/2025","Invoice","4235","Rochester Iron & Metal","08/02/2025","$0.00","$3,123.95","Green Spark #141","Aug 23, 2025, 12:59 PM",
"07/01/2025","Invoice","4232","Rochester Iron & Metal","07/31/2025","$0.00","$1,587.80","","Aug 23, 2025, 12:59 PM",
"07/01/2025","Invoice","4230","Rochester Iron & Metal","07/31/2025","$0.00","$1,479.00","","Aug 23, 2025, 12:59 PM",
"07/01/2025","Invoice","4229","Rochester Iron & Metal","07/31/2025","$0.00","$1,332.80","","Aug 23, 2025, 12:59 PM",
"06/30/2025","Invoice","4223","Rochester Iron & Metal","07/30/2025","$0.00","$3,218.55","Green Spark #140","Aug 23, 2025, 12:59 PM",
"06/28/2025","Deposit","","Rochester Iron & Metal","","$0.00","$10,589.68","","Jun 28, 2025, 7:29 AM",
"06/28/2025","Payment","Batch4718175","Rochester Iron & Metal","","$0.00","$10,589.68","","Jun 28, 2025, 7:29 AM",
"06/26/2025","Invoice","4217","Rochester Iron & Metal","07/26/2025","$0.00","$3,379.80","Green Spark #138","Aug 23, 2025, 12:59 PM",
"06/23/2025","Invoice","4204","Rochester Iron & Metal","07/23/2025","$0.00","$3,442.86","Green Spark #136","Aug 23, 2025, 12:59 PM",
"06/20/2025","Deposit","","Rochester Iron & Metal","","$0.00","$11,320.03","","Jun 21, 2025, 7:42 AM",
"06/20/2025","Payment","4697746","Rochester Iron & Metal","","$0.00","$11,320.03","","Jun 21, 2025, 7:42 AM",
"06/20/2025","Invoice","4201","Rochester Iron & Metal","07/20/2025","$0.00","$4,453.73","Green Spark #135","Aug 23, 2025, 12:59 PM",
"06/19/2025","Invoice","4199","Rochester Iron & Metal","07/19/2025","$0.00","$3,762.50","Green Spark #134","Aug 23, 2025, 12:59 PM",
"06/16/2025","Invoice","4190","Rochester Iron & Metal","07/16/2025","$0.00","$3,231.45","Green Spark #132","Jul 26, 2025, 12:06 PM",
"06/16/2025","Invoice","4189","Rochester Iron & Metal","07/16/2025","$0.00","$5,318.66","Green Spark #131","Jul 18, 2025, 7:37 AM",
"06/13/2025","Deposit","","Rochester Iron & Metal","","$0.00","$21,357.48","","Jun 14, 2025, 7:28 AM",
"06/13/2025","Payment","4671429","Rochester Iron & Metal","","$0.00","$21,357.48","","Jun 14, 2025, 7:28 AM",
"06/12/2025","Invoice","4182","Rochester Iron & Metal","07/12/2025","$0.00","$3,673.02","Green Spark #130","Jul 18, 2025, 7:37 AM",
"06/12/2025","Invoice","4181","Rochester Iron & Metal","07/12/2025","$0.00","$4,386.79","Green Spark #129","Jul 18, 2025, 7:37 AM",
"06/10/2025","Invoice","4174","Rochester Iron & Metal","07/10/2025","$0.00","$2,859.74","Green Spark #125","Jul 11, 2025, 7:26 AM",
"06/10/2025","Invoice","4173","Rochester Iron & Metal","07/10/2025","$0.00","$3,330.47","Green Spark #124","Jul 18, 2025, 7:37 AM",
"06/06/2025","Deposit","","Rochester Iron & Metal","","$0.00","$14,522.67","","Jun 6, 2025, 7:48 AM",
"06/06/2025","Payment","4647349","Rochester Iron & Metal","","$0.00","$14,522.67","","Jun 6, 2025, 7:48 AM",
"06/05/2025","Invoice","4164","Rochester Iron & Metal","07/05/2025","$0.00","$3,949.27","Green Spark #123","Jul 11, 2025, 7:26 AM",
"06/05/2025","Invoice","4163","Rochester Iron & Metal","07/05/2025","$0.00","$5,512.01","Green Spark #122","Jul 11, 2025, 7:26 AM",
"06/04/2025","Invoice","4161","Rochester Iron & Metal","07/04/2025","$0.00","$4,168.06","Green Spark #121","Jul 11, 2025, 7:26 AM",
"06/03/2025","Invoice","4159","Rochester Iron & Metal","07/03/2025","$0.00","$3,717.15","Greenspark #120","Jul 11, 2025, 7:26 AM",
"06/02/2025","Invoice","4151","Rochester Iron & Metal","07/02/2025","$0.00","$3,639.87","Green Spark #119","Jul 11, 2025, 7:26 AM",
"05/30/2025","Deposit","","Rochester Iron & Metal","","$0.00","$25,943.69","","May 30, 2025, 7:56 AM",
"05/30/2025","Payment","","Rochester Iron & Metal","","$0.00","$25,943.69","","May 30, 2025, 7:56 AM",
"05/29/2025","Invoice","4138","Rochester Iron & Metal","06/28/2025","$0.00","$3,858.57","","Jul 7, 2025, 11:52 AM",
"05/28/2025","Invoice","4135","Rochester Iron & Metal","06/27/2025","$0.00","$4,788.57","","Jul 7, 2025, 11:52 AM",
"05/28/2025","Invoice","4134","Rochester Iron & Metal","06/27/2025","$0.00","$3,463.07","","Jul 7, 2025, 11:52 AM",
"05/27/2025","Payment","","Rochester Iron & Metal","","$0.00","$7,153.44","","May 27, 2025, 7:29 AM",
"05/23/2025","Deposit","","Rochester Iron & Metal","","$0.00","$7,153.44","","May 27, 2025, 7:29 AM",
"05/23/2025","Invoice","4130","Rochester Iron & Metal","06/22/2025","$0.00","$3,156.99","Green Spark #113","Jun 28, 2025, 7:26 AM",
"05/23/2025","Deposit","","Rochester Iron & Metal","","$0.00","$25,133.59","","May 23, 2025, 7:25 AM",
"05/22/2025","Payment","","Rochester Iron & Metal","","$0.00","$25,133.59","","May 23, 2025, 7:25 AM",
"05/22/2025","Invoice","4129","Rochester Iron & Metal","06/21/2025","$0.00","$4,020.45","GreenSpark #112","Jun 28, 2025, 7:26 AM",
"05/20/2025","Invoice","4121","Rochester Iron & Metal","06/19/2025","$0.00","$3,412.24","Green Spark #107","Jun 28, 2025, 7:26 AM",
"05/16/2025","Invoice","4114","Rochester Iron & Metal","06/15/2025","$0.00","$2,534.87","Green Spark #102","Jun 21, 2025, 7:41 AM",
"05/16/2025","Deposit","","Rochester Iron & Metal","","$0.00","$20,286.39","","May 16, 2025, 7:29 AM",
"05/16/2025","Payment","Batch 4571531","Rochester Iron & Metal","","$0.00","$20,286.39","","May 16, 2025, 7:29 AM",
"05/15/2025","Invoice","4111","Rochester Iron & Metal","06/14/2025","$0.00","$3,637.66","Green Spark #101","Jun 21, 2025, 7:41 AM",
"05/13/2025","Invoice","4106","Rochester Iron & Metal","06/12/2025","$0.00","$5,147.50","Greenspark #98","Jun 21, 2025, 7:41 AM",
"05/12/2025","Invoice","4105","Rochester Iron & Metal","06/11/2025","$0.00","$2,919.41","Green Spark #97","Jun 14, 2025, 7:28 AM",
"05/09/2025","Deposit","","Rochester Iron & Metal","","$0.00","$22,009.02","","May 9, 2025, 7:42 AM",
"05/09/2025","Payment","","Rochester Iron & Metal","","$0.00","$22,009.02","","May 9, 2025, 7:42 AM",
"05/08/2025","Invoice","4097","Rochester Iron & Metal","06/07/2025","$0.00","$4,095.13","Green Spark #93","Jun 14, 2025, 7:28 AM",
"05/07/2025","Invoice","4094","Rochester Iron & Metal","06/06/2025","$0.00","$4,897.14","Greenspark #92","Jun 14, 2025, 7:28 AM",
"05/06/2025","Invoice","4091","Rochester Iron & Metal","06/05/2025","$0.00","$4,117.23","Green Spark #91","Jun 14, 2025, 7:28 AM",
"05/02/2025","Deposit","","Rochester Iron & Metal","","$0.00","$12,100.56","","May 2, 2025, 8:25 AM",
"05/02/2025","Payment","P611431670","Rochester Iron & Metal","","$0.00","$12,100.56","","May 2, 2025, 8:25 AM",
"05/01/2025","Invoice","4081","Rochester Iron & Metal","05/31/2025","$0.00","$5,328.57","Greenspark #89","Jun 14, 2025, 7:28 AM",
"04/30/2025","Invoice","4077","Rochester Iron & Metal","05/30/2025","$0.00","$4,255.02","Green Spark #88","Jun 6, 2025, 7:48 AM",
"04/30/2025","Invoice","4075","Rochester Iron & Metal","05/30/2025","$0.00","$6,075.00","GreenSpark #87","Jun 6, 2025, 7:48 AM",
"04/29/2025","Invoice","4070","Rochester Iron & Metal","05/29/2025","$0.00","$4,192.65","Green Spark #85","Jun 6, 2025, 7:48 AM",
"04/25/2025","Invoice","4066","Rochester Iron & Metal","05/25/2025","$0.00","$3,682.14","Green Spark #84","May 30, 2025, 6:58 AM",
"04/25/2025","Deposit","","Rochester Iron & Metal","","$0.00","$27,400.25","","May 5, 2025, 8:43 AM",
"04/25/2025","Payment","P611431670","Rochester Iron & Metal","","$0.00","$27,400.25","","Apr 25, 2025, 1:39 PM",
"04/25/2025","Invoice","4064","Rochester Iron & Metal","05/25/2025","$0.00","$5,560.71","GreenSpark #82","May 30, 2025, 6:58 AM",
"04/24/2025","Invoice","4062","Rochester Iron & Metal","05/24/2025","$0.00","$3,171.63","Green Spark #83","May 30, 2025, 6:58 AM",
"04/22/2025","Invoice","4057","Rochester Iron & Metal","05/22/2025","$0.00","$4,637.97","GreenSpark #80","May 30, 2025, 6:58 AM",
"04/18/2025","Deposit","","Rochester Iron & Metal","","$0.00","$15,346.52","","May 5, 2025, 8:43 AM",
"04/18/2025","Payment","4477246","Rochester Iron & Metal","","$0.00","$15,346.52","","Apr 18, 2025, 9:16 AM",
"04/18/2025","Invoice","4049","Rochester Iron & Metal","05/18/2025","$0.00","$4,374.36","GreenSpark #79","May 30, 2025, 6:58 AM",
