"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"03/17/2023","Invoice","2142","Rochester Iron & Metal","04/16/2023","$0.00","$6,314.20","","Jan 31, 2025, 12:22 PM",
"03/16/2023","Invoice","2140","Rochester Iron & Metal","04/15/2023","$0.00","$12,129.51","","Mar 31, 2023, 8:08 AM",
"03/15/2023","Invoice","2136","Rochester Iron & Metal","04/14/2023","$0.00","$5,633.57","","Mar 31, 2023, 8:08 AM",
"03/03/2023","Deposit","","Rochester Iron & Metal","","$0.00","$12,592.34","","Mar 3, 2023, 9:05 AM",
"03/03/2023","Payment","002566","Rochester Iron & Metal","","$0.00","$3,069.69","","Mar 3, 2023, 9:03 AM",
"03/03/2023","Payment","002695","Rochester Iron & Metal","","$0.00","$4,916.40","","Mar 3, 2023, 9:01 AM",
"03/03/2023","Payment","002146","Rochester Iron & Metal","","$0.00","$4,606.25","","Mar 3, 2023, 8:59 AM",
"02/22/2023","Invoice","2087","Rochester Iron & Metal","03/24/2023","$0.00","$4,916.40","","Mar 3, 2023, 9:01 AM",
"02/22/2023","Invoice","2081","Rochester Iron & Metal","03/24/2023","$0.00","$3,069.69","","Mar 3, 2023, 9:03 AM",
"02/17/2023","Invoice","2072","Rochester Iron & Metal","03/19/2023","$0.00","$4,606.25","","Mar 3, 2023, 8:59 AM",
"02/17/2023","Deposit","","Rochester Iron & Metal","","$0.00","$5,705.15","","Feb 17, 2023, 8:21 AM",
"02/17/2023","Payment","ACH","Rochester Iron & Metal","","$0.00","$5,705.15","","Feb 17, 2023, 8:21 AM",
"02/02/2023","Invoice","2049","Rochester Iron & Metal","03/04/2023","$0.00","$5,705.15","","Feb 17, 2023, 8:21 AM",
"02/01/2023","Deposit","","Rochester Iron & Metal","","$0.00","$10,589.50","","Feb 1, 2023, 8:18 AM",
"02/01/2023","Payment","","Rochester Iron & Metal","","$0.00","$10,589.50","","Feb 1, 2023, 8:18 AM",
"01/23/2023","Invoice","2021","Rochester Iron & Metal","02/22/2023","$0.00","$6,903.20","","Feb 1, 2023, 8:18 AM",
"01/23/2023","Invoice","2020","Rochester Iron & Metal","02/22/2023","$0.00","$3,686.30","","Feb 1, 2023, 8:18 AM",
"01/05/2023","Deposit","","Rochester Iron & Metal","","$0.00","$7,399.30","","Jan 5, 2023, 8:05 AM",
"01/05/2023","Payment","ACH","Rochester Iron & Metal","","$0.00","$7,399.30","","Jan 5, 2023, 8:05 AM",
"01/05/2023","Invoice","1980","Rochester Iron & Metal","02/04/2023","$0.00","$7,399.30","","Jan 5, 2023, 8:05 AM",
"12/28/2022","Deposit","","Rochester Iron & Metal","","$0.00","$3,263.45","","Dec 28, 2022, 8:15 AM",
"12/28/2022","Payment","1227202212","Rochester Iron & Metal","","$0.00","$3,263.45","","Dec 28, 2022, 8:15 AM",
"12/21/2022","Deposit","","Rochester Iron & Metal","","$0.00","$3,547.90","","Dec 21, 2022, 9:55 AM",
"12/21/2022","Payment","1220202213","Rochester Iron & Metal","","$0.00","$3,547.90","","Dec 21, 2022, 9:55 AM",
"12/19/2022","Invoice","1956","Rochester Iron & Metal","01/03/2023","$0.00","$3,263.45","","Dec 28, 2022, 8:15 AM",
"12/13/2022","Invoice","1947","Rochester Iron & Metal","01/12/2023","$0.00","$3,547.90","","Dec 21, 2022, 9:55 AM",
"12/07/2022","Deposit","","Rochester Iron & Metal","","$0.00","$1,864.45","","Jan 12, 2023, 8:58 AM",
"12/07/2022","Payment","","Rochester Iron & Metal","","$0.00","$1,864.45","","Jan 12, 2023, 8:58 AM",
"11/30/2022","Invoice","1918","Rochester Iron & Metal","12/30/2022","$0.00","$1,864.45","","Jan 17, 2023, 10:23 AM",
"11/30/2022","Deposit","","Rochester Iron & Metal","","$0.00","$2,387.20","","Nov 30, 2022, 8:48 AM",
"11/30/2022","Payment","","Rochester Iron & Metal","","$0.00","$2,387.20","","Nov 30, 2022, 8:48 AM",
"11/30/2022","Invoice","1917","Rochester Iron & Metal","12/30/2022","$0.00","$2,387.20","","Nov 30, 2022, 8:48 AM",
"11/23/2022","Deposit","","Rochester Iron & Metal","","$0.00","$4,150.00","","Nov 23, 2022, 8:12 AM",
