"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"11/08/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$3,414.92","","Nov 8, 2024, 7:37 AM",
"11/08/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$4,222.05","","Nov 8, 2024, 7:37 AM",
"11/07/2024","Invoice","3690","Rochester Iron & Metal","12/07/2024","$0.00","$2,402.86","","Dec 13, 2024, 7:41 AM",
"11/04/2024","Invoice","3680","Rochester Iron & Metal","12/04/2024","$0.00","$3,761.10","","Dec 6, 2024, 8:08 AM",
"11/01/2024","Deposit","","Rochester Iron & Metal","","$0.00","$3,101.70","","Dec 4, 2024, 10:28 AM",
"11/01/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$3,101.70","","Nov 1, 2024, 7:33 AM",
"10/30/2024","Invoice","3670","Rochester Iron & Metal","11/29/2024","$0.00","$3,001.95","","Dec 6, 2024, 8:08 AM",
"10/30/2024","Invoice","3667","Rochester Iron & Metal","11/29/2024","$0.00","$4,100.00","","Dec 6, 2024, 8:08 AM",
"10/29/2024","Invoice","3664","Rochester Iron & Metal","11/28/2024","$0.00","$4,321.74","","Nov 27, 2024, 3:09 PM",
"10/28/2024","Deposit","","Rochester Iron & Metal","","$0.00","$14,127.24","","Nov 21, 2024, 11:35 AM",
"10/28/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$14,127.24","","Oct 28, 2024, 8:54 AM",
"10/28/2024","Invoice","3661","Rochester Iron & Metal","11/27/2024","$0.00","$4,004.70","","Nov 27, 2024, 3:09 PM",
"10/24/2024","Invoice","3658","Rochester Iron & Metal","11/23/2024","$0.00","$3,600.00","","Nov 27, 2024, 3:09 PM",
"10/23/2024","Invoice","3653","Rochester Iron & Metal","11/22/2024","$0.00","$3,299.10","","Nov 22, 2024, 7:29 AM",
"10/21/2024","Invoice","3648","Rochester Iron & Metal","11/20/2024","$0.00","$2,377.14","","Nov 22, 2024, 7:29 AM",
"10/18/2024","Invoice","3643","Rochester Iron & Metal","11/17/2024","$0.00","$3,472.10","","Nov 14, 2024, 2:52 PM",
"10/18/2024","Deposit","","Rochester Iron & Metal","","$0.00","$12,837.20","","Nov 21, 2024, 11:35 AM",
"10/18/2024","Payment","","Rochester Iron & Metal","","$0.00","$12,837.20","","Nov 6, 2024, 8:41 AM",
"10/17/2024","Invoice","3641","Rochester Iron & Metal","11/16/2024","$0.00","$3,240.30","","Nov 14, 2024, 2:52 PM",
"10/16/2024","Invoice","3638","Rochester Iron & Metal","11/15/2024","$0.00","$3,112.20","","Nov 14, 2024, 2:52 PM",
"10/11/2024","Deposit","","Rochester Iron & Metal","","$0.00","$10,006.34","","Nov 21, 2024, 11:35 AM",
"10/11/2024","Payment","P611431670 3876166","Rochester Iron & Metal","","$0.00","$10,006.34","","Oct 11, 2024, 8:31 AM",
"10/11/2024","Invoice","3631","Rochester Iron & Metal","11/10/2024","$0.00","$2,731.43","","Nov 8, 2024, 7:36 AM",
"10/10/2024","Invoice","3630","Rochester Iron & Metal","11/09/2024","$0.00","$3,414.92","","Nov 8, 2024, 7:35 AM",
"10/09/2024","Invoice","3625","Rochester Iron & Metal","11/08/2024","$0.00","$4,222.05","","Nov 8, 2024, 7:32 AM",
"10/08/2024","Invoice","3622","Rochester Iron & Metal","11/07/2024","$0.00","$3,101.70","","Nov 1, 2024, 7:33 AM",
"10/07/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$4,790.04","","Oct 7, 2024, 8:27 AM",
"10/04/2024","Deposit","","Rochester Iron & Metal","","$0.00","$4,790.04","","Nov 21, 2024, 11:35 AM",
"09/27/2024","Deposit","","Rochester Iron & Metal","","$0.00","$5,644.38","","Oct 7, 2024, 2:14 PM",
"09/27/2024","Payment","094657","Rochester Iron & Metal","","$0.00","$2,820.40","","Sep 27, 2024, 9:02 AM",
"09/27/2024","Payment","093905","Rochester Iron & Metal","","$0.00","$2,823.98","","Sep 27, 2024, 9:02 AM",
"09/27/2024","Invoice","3599","Rochester Iron & Metal","10/27/2024","$0.00","$2,120.00","","Oct 28, 2024, 8:53 AM",
"09/26/2024","Invoice","3594","Rochester Iron & Metal","10/26/2024","$0.00","$2,733.75","","Oct 28, 2024, 8:53 AM",
"09/25/2024","Invoice","3589","Rochester Iron & Metal","10/25/2024","$0.00","$3,182.55","","Oct 28, 2024, 8:53 AM",
"09/24/2024","Invoice","3580","Rochester Iron & Metal","10/24/2024","$0.00","$3,249.64","","Oct 28, 2024, 8:53 AM",
"09/23/2024","Invoice","3584","Rochester Iron & Metal","10/23/2024","$0.00","$2,373.00","","Oct 17, 2024, 3:45 PM",
"09/20/2024","Deposit","","Rochester Iron & Metal","","$0.00","$3,055.45","","Oct 7, 2024, 2:14 PM",
"09/20/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$3,055.45","","Sep 20, 2024, 7:29 AM",
"09/19/2024","Invoice","3577","Rochester Iron & Metal","10/19/2024","$0.00","$2,500.70","","Oct 17, 2024, 3:45 PM",
"09/19/2024","Invoice","3576","Rochester Iron & Metal","10/19/2024","$0.00","$1,632.00","","Nov 6, 2024, 8:53 AM",
"09/19/2024","Invoice","3575","Rochester Iron & Metal","10/19/2024","$0.00","$3,266.55","","Oct 17, 2024, 3:45 PM",
"09/17/2024","Invoice","3569","Rochester Iron & Metal","10/17/2024","$0.00","$3,064.95","","Oct 17, 2024, 3:45 PM",
"09/16/2024","Invoice","3563","Rochester Iron & Metal","10/16/2024","$0.00","$2,945.25","","Oct 11, 2024, 8:31 AM",
"09/13/2024","Deposit","","Rochester Iron & Metal","","$0.00","$5,200.00","","Oct 7, 2024, 2:14 PM",
"09/13/2024","Payment","","Rochester Iron & Metal","","$0.00","$5,200.00","","Sep 13, 2024, 7:32 AM",
"09/13/2024","Invoice","3558","Rochester Iron & Metal","10/13/2024","$0.00","$3,096.29","","Oct 11, 2024, 8:31 AM",
"09/11/2024","Invoice","3556","Rochester Iron & Metal","10/11/2024","$0.00","$2,730.00","","Oct 11, 2024, 8:31 AM",
"09/10/2024","Invoice","3551","Rochester Iron & Metal","10/10/2024","$0.00","$1,234.80","","Oct 11, 2024, 8:31 AM",
"09/09/2024","Invoice","3540","Rochester Iron & Metal","10/09/2024","$0.00","$2,932.90","","Oct 7, 2024, 7:45 AM",
"09/06/2024","Deposit","","Rochester Iron & Metal","","$0.00","$4,191.00","","Oct 7, 2024, 2:14 PM",
"09/06/2024","Payment","3755424","Rochester Iron & Metal","","$0.00","$4,191.00","","Sep 6, 2024, 7:15 AM",
"09/03/2024","Invoice","3537","Rochester Iron & Metal","10/03/2024","$0.00","$1,857.14","","Oct 7, 2024, 7:45 AM",
"08/30/2024","Invoice","3530","Rochester Iron & Metal","09/29/2024","$0.00","$2,820.40","","Sep 27, 2024, 9:00 AM",
"08/29/2024","Deposit","","Rochester Iron & Metal","","$0.00","$6,089.53","","Sep 18, 2024, 10:39 AM",
"08/29/2024","Payment","","Rochester Iron & Metal","","$0.00","$6,089.53","","Aug 29, 2024, 8:22 AM",
"08/27/2024","Invoice","3522","Rochester Iron & Metal","09/26/2024","$0.00","$2,823.98","","Sep 27, 2024, 8:58 AM",
"08/23/2024","Deposit","","Rochester Iron & Metal","","$0.00","$6,498.21","","Sep 18, 2024, 10:39 AM",
"08/23/2024","Payment","","Rochester Iron & Metal","","$0.00","$6,498.21","","Aug 23, 2024, 10:15 AM",
"08/21/2024","Invoice","3515","Rochester Iron & Metal","09/20/2024","$0.00","$3,055.45","","Sep 20, 2024, 7:28 AM",
"08/19/2024","Invoice","3509","Rochester Iron & Metal","09/18/2024","$0.00","$5,200.00","","Sep 13, 2024, 7:32 AM",
"08/16/2024","Deposit","","Rochester Iron & Metal","","$0.00","$4,864.25","","Sep 18, 2024, 10:39 AM",
"08/16/2024","Payment","086753","Rochester Iron & Metal","","$0.00","$4,864.25","","Aug 16, 2024, 11:12 AM",
"08/09/2024","Deposit","","Rochester Iron & Metal","","$0.00","$7,975.00","","Sep 18, 2024, 10:39 AM",
"08/09/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$7,975.00","","Aug 9, 2024, 9:01 AM",
"08/09/2024","Invoice","3481","Rochester Iron & Metal","09/08/2024","$0.00","$4,191.00","","Sep 6, 2024, 7:14 AM",
"08/02/2024","Deposit","","Rochester Iron & Metal","","$0.00","$15,964.10","","Sep 18, 2024, 10:39 AM",
"08/02/2024","Payment","3645569","Rochester Iron & Metal","","$0.00","$15,964.10","","Aug 2, 2024, 8:10 AM",
"08/01/2024","Invoice","3456","Rochester Iron & Metal","08/31/2024","$0.00","$3,228.50","","Aug 29, 2024, 8:19 AM",
"07/26/2024","Deposit","","Rochester Iron & Metal","","$0.00","$8,630.05","","Sep 17, 2024, 10:56 AM",
"07/26/2024","Payment","P61431670","Rochester Iron & Metal","","$0.00","$2,443.20","","Jul 26, 2024, 8:38 AM",
"07/26/2024","Payment","P61431670","Rochester Iron & Metal","","$0.00","$4,025.30","","Jul 26, 2024, 8:38 AM",
"07/26/2024","Payment","P61431670","Rochester Iron & Metal","","$0.00","$2,161.55","","Jul 26, 2024, 8:38 AM",
"07/25/2024","Invoice","3435","Rochester Iron & Metal","08/24/2024","$0.00","$2,861.03","","Aug 29, 2024, 8:19 AM",
"07/24/2024","Invoice","3428","Rochester Iron & Metal","08/23/2024","$0.00","$3,022.77","","Aug 23, 2024, 10:12 AM",
"07/23/2024","Invoice","3427","Rochester Iron & Metal","08/22/2024","$0.00","$3,475.44","","Aug 23, 2024, 10:12 AM",
"07/22/2024","Invoice","3421","Rochester Iron & Metal","08/21/2024","$0.00","$2,837.50","","Aug 16, 2024, 11:11 AM",
"07/19/2024","Invoice","3419","Rochester Iron & Metal","08/18/2024","$0.00","$2,865.00","","Aug 9, 2024, 9:00 AM",
"07/19/2024","Invoice","3416","Rochester Iron & Metal","08/18/2024","$0.00","$2,755.00","","Aug 9, 2024, 9:00 AM",
"07/18/2024","Invoice","3413","Rochester Iron & Metal","08/17/2024","$0.00","$2,026.75","","Aug 16, 2024, 11:11 AM",
"07/18/2024","Invoice","3412","Rochester Iron & Metal","08/17/2024","$0.00","$2,355.00","","Aug 9, 2024, 9:00 AM",
"07/17/2024","Invoice","3405","Rochester Iron & Metal","08/16/2024","$0.00","$2,516.80","","Aug 2, 2024, 8:10 AM",
"07/17/2024","Invoice","3401","Rochester Iron & Metal","08/16/2024","$0.00","$4,540.70","","Aug 2, 2024, 8:10 AM",
"07/16/2024","Invoice","3399","Rochester Iron & Metal","08/15/2024","$0.00","$5,135.00","","Aug 2, 2024, 8:10 AM",
"07/15/2024","Invoice","3393","Rochester Iron & Metal","08/14/2024","$0.00","$3,771.60","","Aug 2, 2024, 8:10 AM",
"07/12/2024","Deposit","","Rochester Iron & Metal","","$0.00","$3,891.48","","Sep 17, 2024, 10:56 AM",
"07/12/2024","Payment","080446","Rochester Iron & Metal","","$0.00","$3,891.48","","Jul 12, 2024, 8:26 AM",
"07/05/2024","Deposit","","Rochester Iron & Metal","","$0.00","$6,053.89","","Sep 17, 2024, 10:56 AM",
"07/05/2024","Payment","","Rochester Iron & Metal","","$0.00","$6,053.89","","Jul 5, 2024, 7:29 AM",
"06/27/2024","Invoice","3352","Rochester Iron & Metal","07/27/2024","$0.00","$2,443.20","","Jul 26, 2024, 8:37 AM",
"06/25/2024","Invoice","3342","Rochester Iron & Metal","07/25/2024","$0.00","$4,025.30","","Jul 26, 2024, 8:34 AM",
"06/25/2024","Invoice","3339","Rochester Iron & Metal","07/25/2024","$0.00","$4,002.85","","Oct 28, 2024, 8:53 AM",
"06/19/2024","Invoice","3327","Rochester Iron & Metal","07/19/2024","$0.00","$3,891.48","","Jul 12, 2024, 8:23 AM",
"06/17/2024","Invoice","3319","Rochester Iron & Metal","07/17/2024","$0.00","$3,036.39","","Jul 4, 2024, 7:48 AM",
"06/14/2024","Invoice","3312","Rochester Iron & Metal","07/14/2024","$0.00","$3,017.50","","Jul 4, 2024, 7:48 AM",
"05/31/2024","Deposit","","Rochester Iron & Metal","","$0.00","$4,612.65","","Sep 17, 2024, 9:20 AM",
"05/31/2024","Payment","068597","Rochester Iron & Metal","","$0.00","$4,612.65","","May 31, 2024, 7:32 AM",
"05/03/2024","Deposit","","Rochester Iron & Metal","","$0.00","$2,847.60","","Sep 17, 2024, 9:20 AM",
"05/03/2024","Payment","3372471","Rochester Iron & Metal","","$0.00","$2,847.60","","May 3, 2024, 7:31 AM",
"04/26/2024","Deposit","","Rochester Iron & Metal","","$0.00","$2,179.80","","Sep 16, 2024, 11:46 AM",
"04/26/2024","Payment","059893","Rochester Iron & Metal","","$0.00","$2,179.80","","Apr 26, 2024, 1:20 PM",
"04/22/2024","Deposit","","Rochester Iron & Metal","","$0.00","$4,534.55","","Sep 16, 2024, 11:46 AM",
"04/22/2024","Payment","3333969","Rochester Iron & Metal","","$0.00","$4,534.55","","Apr 22, 2024, 7:49 AM",
"04/12/2024","Deposit","","Rochester Iron & Metal","","$0.00","$5,577.67","","Sep 16, 2024, 11:46 AM",
"04/12/2024","Payment","057653","Rochester Iron & Metal","","$0.00","$4,080.00","","Apr 12, 2024, 8:35 AM",
"04/12/2024","Payment","056603/045941","Rochester Iron & Metal","","$0.00","$1,497.67","","Apr 12, 2024, 8:34 AM",
"04/12/2024","Invoice","3133","Rochester Iron & Metal","05/12/2024","$0.00","$1,497.67","","Apr 12, 2024, 8:34 AM",
"03/29/2024","Deposit","","Rochester Iron & Metal","","$0.00","$8,490.73","","Sep 16, 2024, 10:46 AM",
"03/29/2024","Payment","","Rochester Iron & Metal","","$0.00","$3,424.17","","Mar 29, 2024, 8:18 AM",
"03/29/2024","Payment","","Rochester Iron & Metal","","$0.00","$5,066.56","","Mar 29, 2024, 8:16 AM",
"03/28/2024","Invoice","3105","Rochester Iron & Metal","04/27/2024","$0.00","$2,847.60","","May 3, 2024, 7:31 AM",
