"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"04/28/2025","Deposit","","Steel Dynamics Inc.","","$0.00","$32,778.64","","May 5, 2025, 8:43 AM",
"04/28/2025","Payment","","Steel Dynamics Inc.","","$0.00","$26,393.27","","Apr 28, 2025, 7:34 AM",
"04/28/2025","Payment","","Steel Dynamics Inc.","","$0.00","$6,385.37","","Apr 28, 2025, 7:34 AM",
"03/25/2025","Invoice","3986","Steel Dynamics Inc.","04/24/2025","$0.00","$6,385.37","Greenspark 58","Apr 28, 2025, 7:32 AM",
"03/21/2025","Invoice","3980","Steel Dynamics Inc.","04/20/2025","$0.00","$5,902.75","Greenspark 56","Apr 28, 2025, 7:34 AM",
"03/21/2025","Invoice","3979","Steel Dynamics Inc.","04/20/2025","$0.00","$3,055.00","Greenspark 55","Apr 28, 2025, 7:34 AM",
"03/20/2025","Invoice","3977","Steel Dynamics Inc.","04/19/2025","$0.00","$3,453.65","Greenspark 54","Apr 28, 2025, 7:34 AM",
"03/20/2025","Invoice","3976","Steel Dynamics Inc.","04/19/2025","$0.00","$3,399.09","Greenspark 53","Apr 28, 2025, 7:34 AM",
"03/20/2025","Invoice","3974","Steel Dynamics Inc.","04/19/2025","$0.00","$2,710.28","Greenspark 52","Apr 28, 2025, 7:34 AM",
"03/19/2025","Invoice","3971","Steel Dynamics Inc.","04/18/2025","$0.00","$3,923.65","Greenspark 50","Apr 28, 2025, 7:34 AM",
"03/19/2025","Invoice","3970","Steel Dynamics Inc.","04/18/2025","$0.00","$3,948.85","Greenspark 48","Apr 28, 2025, 7:34 AM",
