Date,Price,Open,High,Low,Vol.,Change %
11/14/2025,"1,415.00","1,455.50","1,469.00","1,384.50",9.06K,-4.21%
11/13/2025,"1,477.20","1,510.50","1,541.50","1,440.50",0.13K,-1.87%
11/12/2025,"1,505.30","1,475.50","1,513.50","1,451.50",6.02K,2.18%
11/11/2025,"1,473.20","1,440.00","1,483.50","1,438.50",5.81K,1.70%
11/10/2025,"1,448.60","1,404.00","1,453.50","1,404.00",6.21K,3.24%
11/7/2025,"1,403.20","1,395.50","1,420.50","1,380.00",5.56K,0.60%
11/6/2025,"1,394.90","1,447.00","1,462.50","1,375.50",6.71K,-3.81%
11/5/2025,"1,450.10","1,417.00","1,455.50","1,387.00",4.86K,2.08%
11/4/2025,"1,420.50","1,468.00","1,468.00","1,407.50",5.15K,-2.36%
11/3/2025,"1,454.90","1,455.50","1,486.50","1,434.00",4.54K,-0.01%
10/31/2025,"1,455.10","1,484.00","1,509.50","1,453.00",4.21K,-1.23%
10/30/2025,"1,473.20","1,416.00","1,482.50","1,412.00",5.16K,2.95%
10/29/2025,"1,431.00","1,439.00","1,439.00","1,432.00",0.01K,1.93%
10/28/2025,"1,403.90","1,363.00","1,376.00","1,363.00",0.00K,-0.99%
10/27/2025,"1,417.90","1,417.90","1,417.90","1,417.90",5.31K,-3.26%
10/24/2025,"1,465.70","1,465.70","1,465.70","1,465.70",5.84K,-0.53%
10/23/2025,"1,473.50","1,473.50","1,473.50","1,473.50",0.00K,0.92%
10/22/2025,"1,460.10","1,430.00","1,540.00","1,392.50",8.35K,1.77%
10/21/2025,"1,434.70","1,541.00","1,549.00","1,410.00",9.08K,-6.67%
10/20/2025,"1,537.30","1,515.50","1,554.50","1,456.50",8.21K,0.99%
10/17/2025,"1,522.30","1,681.00","1,692.50","1,510.50",13.48K,-9.35%
10/16/2025,"1,679.30","1,602.00","1,695.00","1,567.50",11.36K,5.62%
10/15/2025,"1,589.90","1,583.50","1,627.00","1,570.00",8.30K,0.04%
10/14/2025,"1,589.20","1,537.00","1,603.50","1,486.00",9.86K,3.79%
10/13/2025,"1,531.20","1,455.50","1,551.50","1,451.00",0.43K,4.12%
10/10/2025,"1,470.60","1,467.00","1,523.50","1,408.50",12.19K,1.07%
10/9/2025,"1,455.00","1,481.50","1,549.00","1,441.00",11.82K,-1.89%
10/8/2025,"1,483.10","1,384.00","1,512.00","1,379.50",10.09K,7.99%
10/7/2025,"1,373.40","1,352.00","1,409.00","1,341.00",8.77K,1.81%
10/6/2025,"1,349.00","1,283.00","1,357.50","1,276.00",9.21K,4.33%
10/3/2025,"1,293.00","1,269.00","1,300.50","1,257.00",4.94K,2.68%
10/2/2025,"1,259.30","1,286.50","1,316.00","1,228.50",8.32K,-1.26%
10/1/2025,"1,275.40","1,291.00","1,305.00","1,263.50",5.51K,-0.93%
9/30/2025,"1,287.40","1,303.00","1,321.50","1,247.00",7.78K,-0.28%
9/29/2025,"1,291.00","1,306.50","1,338.50","1,277.50",8.87K,-0.94%
9/26/2025,"1,303.30","1,283.00","1,309.00","1,272.50",0.05K,2.20%
9/25/2025,"1,275.20","1,228.00","1,271.00","1,220.00",0.01K,3.46%
9/24/2025,"1,232.50","1,255.00","1,255.00","1,234.50",0.04K,-0.89%
9/23/2025,"1,243.60","1,210.50","1,246.00","1,210.50",0.04K,3.17%
9/22/2025,"1,205.40","1,205.00","1,205.00","1,205.00",0.00K,3.06%
9/19/2025,"1,169.60","1,183.50","1,195.00","1,160.00",3.90K,-1.52%
9/18/2025,"1,187.60","1,175.00","1,191.00","1,154.00",5.23K,1.12%
9/17/2025,"1,174.50","1,205.00","1,214.50","1,161.00",6.57K,-2.17%
9/16/2025,"1,200.50","1,229.00","1,245.50","1,192.50",5.51K,-1.95%
9/15/2025,"1,224.40","1,229.00","1,246.00","1,201.00",8.69K,-2.10%
9/12/2025,"1,250.70","1,230.50","1,277.50","1,225.50",7.69K,1.03%
9/11/2025,"1,237.90","1,211.00","1,239.00","1,203.00",5.42K,2.13%
9/10/2025,"1,212.10","1,171.00","1,230.00","1,163.50",8.14K,6.16%
9/9/2025,"1,141.80","1,158.00","1,171.50","1,140.50",5.17K,-1.24%
9/8/2025,"1,156.10","1,126.00","1,165.50","1,117.50",4.54K,2.41%
9/5/2025,"1,128.90","1,142.00","1,156.00","1,105.50",5.50K,-1.26%
9/4/2025,"1,143.30","1,181.00","1,182.00","1,138.00",5.98K,-3.65%
9/3/2025,"1,186.60","1,158.00","1,195.50","1,151.00",6.17K,2.89%
9/2/2025,"1,153.30","1,126.50","1,174.00","1,126.00",10.18K,-1.11%
9/1/2025,"1,166.25","1,131.00","1,173.75","1,130.50",4.08K,3.14%
8/31/2025,"1,130.75","1,126.50","1,133.00","1,126.50",,0.60%
8/29/2025,"1,124.00","1,127.50","1,131.50","1,106.50",3.70K,-0.21%
8/28/2025,"1,126.40","1,106.50","1,132.00","1,103.00",4.84K,1.83%
8/27/2025,"1,106.20","1,106.20","1,106.20","1,106.20",,-0.30%
8/26/2025,"1,109.50","1,113.50","1,118.00","1,093.50",6.38K,-0.34%
8/25/2025,"1,113.30","1,155.00","1,155.00","1,109.00",6.01K,-2.36%
8/22/2025,"1,140.20","1,126.50","1,160.00","1,120.00",7.08K,1.42%
8/21/2025,"1,124.20","1,135.00","1,136.00","1,109.50",4.99K,-1.48%
8/20/2025,"1,141.10","1,137.50","1,137.50","1,137.50",0.01K,1.70%
8/19/2025,"1,122.00","1,139.50","1,157.00","1,120.50",2.43K,-1.88%
8/18/2025,"1,143.50","1,131.00","1,147.50","1,120.00",1.91K,2.30%
8/15/2025,"1,117.80","1,152.50","1,160.00","1,116.00",5.25K,-3.20%
8/14/2025,"1,154.70","1,147.00","1,160.50","1,137.00",3.91K,2.07%
8/13/2025,"1,131.30","1,134.50","1,150.00","1,126.50",4.26K,-0.88%
8/12/2025,"1,141.40","1,158.00","1,177.00","1,132.50",5.57K,-1.57%
