Date,Price,Open,High,Low,Vol.,Change %
11/14/2025,"1,558.40","1,601.35","1,619.15","1,530.25",29.67K,-3.44%
11/13/2025,"1,613.90","1,632.80","1,666.40","1,583.10",0.20K,-1.07%
11/12/2025,"1,631.40","1,600.10","1,642.40","1,585.60",25.20K,2.07%
11/11/2025,"1,598.30","1,595.50","1,622.60","1,581.60",18.64K,-0.14%
11/10/2025,"1,600.50","1,549.10","1,605.60","1,549.10",24.16K,3.32%
11/7/2025,"1,549.10","1,540.00","1,569.00","1,528.00",18.32K,0.75%
11/6/2025,"1,537.60","1,564.80","1,587.20","1,513.20",24.82K,-1.60%
11/5/2025,"1,562.60","1,539.80","1,570.30","1,522.00",18.03K,0.77%
11/4/2025,"1,550.70","1,578.50","1,581.50","1,533.00",18.01K,-1.94%
11/3/2025,"1,581.40","1,572.20","1,618.60","1,560.60",20.11K,0.38%
10/31/2025,"1,575.40","1,610.70","1,630.00","1,570.80",20.61K,-2.41%
10/30/2025,"1,614.30","1,586.30","1,618.60","1,567.50",22.76K,1.21%
10/29/2025,"1,595.00","1,574.60","1,611.60","1,570.10",0.24K,0.94%
10/28/2025,"1,580.10","1,580.80","1,589.00","1,502.90",0.16K,-0.05%
10/27/2025,"1,580.90","1,587.20","1,607.40","1,558.70",0.10K,-1.14%
10/24/2025,"1,599.10","1,588.80","1,603.70","1,553.50",0.18K,0.43%
10/23/2025,"1,592.30","1,565.30","1,615.20","1,563.00",0.23K,2.56%
10/22/2025,"1,552.50","1,542.70","1,581.60","1,481.20",42.53K,2.19%
10/21/2025,"1,519.30","1,652.50","1,668.00","1,506.80",55.54K,-8.04%
10/20/2025,"1,652.20","1,629.20","1,665.10","1,582.00",31.18K,2.02%
10/17/2025,"1,619.50","1,754.60","1,762.40","1,617.70",53.72K,-7.73%
10/16/2025,"1,755.10","1,697.00","1,770.00","1,669.70",44.24K,3.98%
10/15/2025,"1,687.90","1,669.40","1,704.70","1,658.20",28.69K,0.68%
10/14/2025,"1,676.50","1,682.50","1,713.60","1,640.50",42.40K,-0.90%
10/13/2025,"1,691.80","1,624.70","1,707.10","1,624.30",1.48K,4.24%
10/10/2025,"1,623.00","1,666.80","1,679.50","1,614.00",36.58K,-2.02%
10/9/2025,"1,656.40","1,689.40","1,725.70","1,651.20",33.87K,-2.61%
10/8/2025,"1,700.80","1,655.50","1,710.80","1,645.00",27.46K,3.09%
10/7/2025,"1,649.80","1,657.50","1,673.00","1,631.00",30.55K,-0.57%
10/6/2025,"1,659.30","1,645.40","1,678.00","1,628.60",29.86K,1.05%
10/3/2025,"1,642.10","1,590.10","1,649.90","1,582.00",29.84K,3.54%
10/2/2025,"1,586.00","1,596.30","1,627.70","1,552.70",32.56K,-0.30%
