Date,Price,Open,High,Low,Vol.,Change %
5/27/2024,31.832,30.705,32.06,30.617,,3.64%
5/26/2024,30.715,30.545,30.785,30.545,,0.71%
5/24/2024,30.499,30.33,30.835,30.235,55.07K,0.14%
5/23/2024,30.455,31.015,31.185,30.265,107.27K,-3.31%
5/22/2024,31.496,32.225,32.44,30.965,93.21K,-1.81%
5/21/2024,32.078,32.055,32.72,31.28,112.62K,-1.07%
5/20/2024,32.426,31.85,32.75,31.18,159.97K,3.73%
5/17/2024,31.259,29.825,31.85,29.7,132.93K,4.63%
5/16/2024,29.876,29.9,30.105,29.555,91.44K,0.49%
5/15/2024,29.729,28.855,29.99,28.675,117.42K,3.58%
5/14/2024,28.702,28.42,28.985,28.31,70.50K,0.91%
5/13/2024,28.443,28.42,28.615,28.185,55.32K,-0.22%
5/10/2024,28.506,28.58,29,28.27,77.59K,0.50%
5/9/2024,28.365,27.56,28.58,27.515,79.43K,2.77%
5/8/2024,27.601,27.475,27.725,27.24,51.14K,0.21%
5/7/2024,27.544,27.715,27.77,27.39,47.44K,-0.25%
5/6/2024,27.614,26.81,27.73,26.655,68.06K,3.46%
5/3/2024,26.69,26.94,27.14,26.345,65.99K,-0.52%
5/2/2024,26.829,26.905,27.065,26.255,63.28K,0.30%
5/1/2024,26.748,26.55,27.25,26.52,64.62K,0.35%
4/30/2024,26.654,27.455,27.455,26.515,87.80K,-3.64%
4/29/2024,27.66,27.5,27.735,27.225,61.96K,0.94%
4/26/2024,27.402,27.625,27.89,27.25,1.03K,-0.36%
4/25/2024,27.502,27.385,27.745,27.15,0.85K,0.02%
4/24/2024,27.496,27.45,27.66,27.215,0.52K,-0.05%
4/23/2024,27.511,27.42,27.56,26.855,0.83K,0.42%
4/22/2024,27.397,28.78,28.82,27.315,0.60K,-5.52%
4/19/2024,28.998,28.44,29.15,28.35,0.62K,1.63%
4/18/2024,28.532,28.455,28.83,28.36,0.43K,-0.07%
4/17/2024,28.553,28.405,29.02,28.3,0.40K,0.09%
4/16/2024,28.526,29.14,29.24,28.19,0.35K,-1.18%
4/15/2024,28.866,28.38,29.08,27.81,0.26K,1.36%
4/12/2024,28.48,28.765,29.995,28.15,0.84K,0.28%
4/11/2024,28.401,28.115,28.7,28.02,0.20K,0.70%
4/10/2024,28.204,28.46,28.76,27.9,0.47K,0.25%
4/9/2024,28.134,28.18,28.585,28.04,0.19K,0.64%
4/8/2024,27.956,27.435,28.275,27.145,0.49K,1.11%
4/5/2024,27.649,27.2,27.695,26.555,0.36K,0.96%
4/4/2024,27.385,27.455,27.515,26.94,0.26K,0.70%
4/3/2024,27.195,26.46,27.36,26.46,0.41K,4.37%
4/2/2024,26.057,25.4,26.235,25.4,0.16K,3.39%
4/1/2024,25.203,25.36,25.6,25.15,0.05K,0.41%
3/29/2024,25.1,25.1,25.1,25.1,,0.23%
3/28/2024,25.042,24.645,25.24,24.645,0.03K,0.66%
3/27/2024,24.879,24.855,25.025,24.695,4.48K,1.04%
3/26/2024,24.623,24.845,25.055,24.515,69.88K,-1.08%
3/25/2024,24.891,24.85,25.05,24.72,39.55K,0.19%
3/22/2024,24.843,24.92,25.11,24.58,57.39K,-0.66%
3/21/2024,25.007,25.79,25.975,24.82,104.11K,-0.39%
3/20/2024,25.104,25.09,25.835,24.93,68.27K,-0.12%
3/19/2024,25.135,25.25,25.36,24.92,49.79K,-0.51%
3/18/2024,25.265,25.4,25.535,25.15,47.98K,-0.46%
