"C&Y Global, Inc. / Pro Metal Recycling 
NON-FERROUS METALS,,,,,,(LBS)
,,,,,,
ALUMINUM PRODUCT,,,,RADIATOR PRODUCT,,
AL 6061, NEW BARE EXTRUSION PREPARED,0.84,,A/C REEFER,CLEAN TALK BALED ,2.01
AL 6061,CLIP/PLATE/PIPE PREPARED,0.78,,A/C REEFER,CLEAN UNBALED,1.99
AL 6063,SECONDARY PREPARED,0.78,,A/C REEFER,DIRTY TALK BALED,1.87
AL 6063,OLD EXTRUSION PREPARED,0.95,,A/C REEFER,DIRTY UNBALED,1.85
AL 6063,EXTRUSION 10/10 PREPARED,0.85,,RADIATOR,"CLEAN, CAR RADIATOR",2.48
AL PAS,BALED,0.82,,CU BKG,AC REEFER END,1.26
AL CAST,CLEAN,0.72,,,,
AL RADS,CLEAN /BALED,0.67,,COPPER PRODUCT,,
AL RADS,DIRTY/BALED,0.46,,CU BB,BARLEY,3.93
AL SHEET ,CLEAN /BALED,0.75,,CU#1,BERRY & CANDY,3.83
AL WHEEL AUTO,CLEAN (Dirty 2 cents less),0.93,,CU#2,BIRCH & CLIFF,3.54
AL WHEEL CHROME,CLEAN (Dirty 2 cents less),0.8,,CU#3,SHEET COPPER ,3.46
TRUCK WHEEL ,CLEAN,0.72,,BRASS PRODUCT,,
AL WIRE,BARE CATV,0.43,,BRASS HARD,SOLID CLEAN,3.4
AL WIRE,NEOPRENE & ACSR 68% PREPARED,0.54,,BRASS RED,EBONY,3.23
AL WIRE ,EC WIRE PREPARED,1.03,,BRASS RED,SEMI RED,3
AL MLC ,Mix Low Copper sheet/plate/clip solid PREPARED,0.84,,BRASS SHAVING,"AL BRONZE SHAVING, C/D",2.38
,,,,BRASS SHAVING,"BRASS RED SHAVING, C/D",2.57
AUTO COIL,,,,BRASS SHAVING,"BRASS YELLOW SHAVING, C/D",2.38
AUTO COIL-AL STARTER,AL NOSE,0.57,,BRASS SHELL,CLEAN NO CHROME,2.52
AUTO COIL-TRUCK STARTER,"FE NOSE, TRUCK STARTER",0.52,,BRASS SPECIAL,AL BRONZE SOLID,2.7
AUTO COIL-ALTERNATOR,NO BUS ALTERNATOR,0.77,,BRASS YELLOW REGULAR,SOLID CLEAN,2.57
AUTO COIL-AUTO COMPRESSOR,NO STEEL CASE & HOSE,0.45,,,,
,,,,MISC PRDOUCT,,
INSULATED WIRE,,,,BALLAST,ELECTRONIC BALLAST,0.15
ICW LOW GRADE,CHRISTMAS LIGHTS,0.66,,BALLAST,REGULAR,0.27
ICW LOW GRADE,COMPUTER WIRE 25%,0.56,,BATTERY AUTO,PB-ACID BATTERY,0.27
ICW LOW GRADE,CU CATV  ,1.26,,BATTERY STEEL CASE,BATTERY STEEL CASE INDUSTRIAL,0.24
ICW LOW GRADE,EXT. CORDS 35% UP,1.15,,COMPRESSOR,"SEALED UNIT BOXED, NO CAST IRON CASE",0.33
ICW LOW GRADE,MIXED WIRE 40% UP ,1.35,,E MOTOR LOW GRADE,CELLING FAN MOTORS,0.18
ICW#1,"HELIAX 57%, OPEN EYE/BALED",1.92,,E MOTOR MIX,"NO PUMPS, POWER TOOLS, CEILING FANS. ",0.43
ICW#1,MCM 85% HG,3.17,,E MOTOR LARGE,"BIG, BUT LESS THAN 1000 POUNDS",0.39
ICW#1,"Romex 65%, No weather proof.",2.38,,TRANSFORMER,TRANSFORMER ALU LARGE ONLY,0.22
ICW#1,THHN80%,2.95,,TRANSFORMER CU,AL/CU ,0.35
ICW#2,"50%& CAT5, TEL WIRE",1.73,,TRANSFORMER CU,CU SMALL (PALM SIZE),0.7
ICW#2,HARNESS WIRE NO FUSE BOXES,1.76,,TRANSFORMER CU,MEDIUM (MORE THAN 200LBS),0.74
ICW#2-BX CABLE,AL,2.06,,TRANSFORMER CU ,LARGE  ,0.78
ICW#2-BX CABLE,"FE, 24%",0.75,,ZINC,ZINC/DIE CAST,0.85
,,,,,,
LEAD PRODUCT,,,,STAINLESS STEEL PRODUCT,,
LEAD CLEAN,CLEAN,0.73,,SS 304,SS 304 PREPARED,0.5
LEAD RANGE,RANGE LEAD INDOOR,0.74,,SS 316,SOLID CLEAN PREPARED ,0.92
LEAD WHEEL WEIGHT,WHEEL WEIGHT,0.2,,,,
,,,,,,
FERROUS METALS,,,,,,
MANGANESE STEEL,,,,,,
ROTORS / DRUMS,,,,,,
H-13,,,,,,
,,,,,,
E SCRAPS,,,,,,
,,,,,,
AC ADAPTORS/LAPTOP&PHONE BATTERY/PHONE CHARGER/MISC.,Description,UnitPrice,,COMPUTRE/LAPTOP/CD ROM/HARD DRIVE/POWER SUPPLY/SERVER/BOARDS,Description,UnitPrice
E SCRAP-AC ADAPTORS,LAPTOP NO CABLE NO WALL PLUGS & NO PHONE CHARGERS,0.42,,E SCRAP-COMPUTER SCRAP,COMPLETE COMPUTER TOWER,0.45
,LAPTOP WITH CABLE NO WALL PLUGS & PHONE CHARGERS,0.55,,,"INCOMPLETE TOWER W/O RAM, CUP, HARD DRIVE",0.4
E SCRAP-BATTERY,MODEM/LAPTOP BATTERY,,,,MIX COMPUTER TOWER,0.41
,CELL PHONE BATTERY - LITHIUM ION,no buy,,E SCRAP-LAPTOP,"COMPLETE W GOOD SCREEN 15""+",$ 6/EACH
E SCRAP-OTHERS,PLASTIC COMPUTER FAN,0.05,,,"INCOMPLETE 12""+",0.95
,CABLE BOX WITH HD,0.48,,,CHROME BOOK/TABLET W GOOD SCREEN,$ 2/EACH
,CABLE BOX NO HD W GREEN BOARD,0.38,,E SCRAP-CD ROM,CD ROM,0.23
,CELL PHONE NO BATTERY,3.75,,E SCRAP-HARD DRIVE,HARD DRIVE NO BOARD,0.45
,CELL PHONE WITH BATTERY,2.5,,,HARD DRIVE NO BOARD SHREDDED,0.3
,CIRCUIT BREAKERS,0.6,,,HARD DRIVE WITH FULL BOARD,0.85
,CPU GOLD,4.5,,,HARD DRIVE WITH PARTIAL BOARD,0.75
,CREDIT CARD POS READER - STATIONARY,0.5,,,HARD DRIVE WITH BOARD -PUNCHED / BENT / CRACKED OR WITH CADDY,0.8
,CREDIT CARD POS READER -MOBILE,0.7,,,HARD DRIVE WITH BOARD SHREDDED,0.6
,DOCKING STATIONS,0.28,,E SCRAP-POWER SUPPLY,SERVER POWER SUPPLY,0.4
,"ECM BOX, NO JELLY",1.15,,,WITH CABLE,0.5
,FUSE BOX FROM CAR,0.8,,,WITHOUT CABLE,0.4
,LCD MONITOR BROKEN,0.05,,E SCRAP-SERVER,BLADE SERVER,0.95
,"NETWORK EQUIPMENT, SWITCH",0.95,,,COMPLETE,0.9
,NETWORKING METAL,0.75,,,INCOMPLETE,0.8
,AC UNIT WHOLE - WINDOW MOUNT,,,,SERVER CABINET,QUOTE
,PRINTER / COPIERS - PALLETIZED/SHRINK WRAPPED,0.04,,E SCRAP-CIRCUIT BOARD,AUTO SHREDDER BOARD,1.55
,ROUTER - STEEL,0.5,,,GREEN MOTHERBOARD ,2.4
,ROUTERS-PLASTIC MODEM,0.7,,,COLOR MOTHERBOARD,1.55
,E METER W GLASS COVER,0.2,,,CRT BOARD,0.3
,E METER - DIGITAL,0.85,,,FINGER BOARD CLEAN NO ATTACHMENT,3.75
,"E METER - ANALOG,NO GLASS",0.55,,,GOLD RAM / NO BRACKET,14
,TELEPHONE OFFICE,0.38,,,SILVER RAM,4.9
,UPS BATTERY BACKUP,0.3,,,MEDIUM GRADE BOARD,0.95
,PLUG END BREAKAGE MIX,0.3,,,POWER BOARD GREEN,0.6
,ALU COMPUTER FAN,0.32,,,POWER BOARD BROWN ,0.35
,PRINTER / COPIERS - UNPREPARED,FREE,,,SERVER MOTHERBOARD ,4.5
,RIBBON CABLE,1.2,,,TELECOM BOARD HIGH GRADE,3.25
