buyer,seller,material,weight_tons,price_per_ton,pricing_formula,reference_symbol,reference_price,reference_source,reference_timestamp,currency
Mervis,Winski Brothers,P&S,19.56,383.93,,1003#0,,QBO,2021-08-28,USD
Mervis,Winski Brothers,Clips,10.92,455.36,,1003#1,,QBO,2021-08-28,USD
Mervis,Winski Brothers,HMS,21.32,357.14,,1010#0,,QBO,2021-09-01,USD
Mervis,Winski Brothers,HMS,21.74,334.82,,1015#0,,QBO,2021-09-03,USD
Mervis,Winski Brothers,Clips,12.41,410.71,,1016#0,,QBO,2021-09-21,USD
Mervis,Winski Brothers,HMS,18.73,334.82,,1019#0,,QBO,2021-09-29,USD
Mervis,Winski Brothers,P&S,18.12,361.61,,1018#0,,QBO,2021-09-29,USD
Mervis,Winski Brothers,Clips,18.52,410.71,,1020#0,,QBO,2021-10-01,USD
Mervis,Winski Brothers,HMS,20.14,334.65,,1024#0,,QBO,2021-10-27,USD
Mervis,Winski Brothers,Clips,18.4,410.71,,1027#0,,QBO,2021-11-15,USD
Mervis,Winski Brothers,HMS,19.3,379.46,,1060#0,,QBO,2021-11-23,USD
Mervis,Winski Brothers,HMS,19.49,379.46,,1130#0,,QBO,2021-12-23,USD
Mervis,Winski Brothers,HMS,19.76,379.46,,1127#0,,QBO,2021-12-23,USD
Mervis,Winski Brothers,Clips,14.185,415.64,,1196#0,,QBO,2022-02-01,USD
Mervis,Winski Brothers,Clips,19.15,508.93,,1248#0,,QBO,2022-03-01,USD
Mervis,Winski Brothers,Clips,13.1,511.26,,1264#0,,QBO,2022-03-11,USD
Mervis,Winski Brothers,Clips,13.42,508.93,,1301#0,,QBO,2022-03-26,USD
Mervis,Winski Brothers,Clips,16.3,553.57,,1381#0,,QBO,2022-04-25,USD
Mervis,Winski Brothers,Clips,10.0,486.61,,1479#0,,QBO,2022-05-27,USD
Mervis,Winski Brothers,Clips,16.24,419.64,,1495#0,,QBO,2022-06-01,USD
Mervis,Winski Brothers,Clips,11.93,419.64,,1535#0,,QBO,2022-06-21,USD
Mervis,Winski Brothers,Clips,14.23,285.71,,1574#0,,QBO,2022-07-11,USD
