customer,invoice_id,invoice_number,invoice_date,service_date,product_service,qbo_item,description,ship_date,ship_via,item,item_original,qty,uom,unit_price,line_amount,invoice_total,invoice_balance,pdf_path
Mervis,47,1003,2021-08-28,2021-08-28,FE:5ft P&S,FE:5ft P&S,,,,P&S,FE:5ft P&S,39120,,0.1919642,7509.64,12482.14,0,qbo_out\qbo_pdfs\Mervis\INV-47.pdf
Mervis,47,1003,2021-08-28,2021-08-28,FE:Clips,FE:Clips,BALING CLIPS/#1 BUNDLES,,,Clips,BALING CLIPS/#1 BUNDLES,21840,,0.2276785,4972.5,12482.14,0,qbo_out\qbo_pdfs\Mervis\INV-47.pdf
Mervis,178,1010,2021-09-01,2021-09-01,FE:Heavy Melt,FE:Heavy Melt,,,,HMS,FE:Heavy Melt,42640,,0.1785714,7614.28,7614.28,0,qbo_out\qbo_pdfs\Mervis\INV-178.pdf
Mervis,227,1015,2021-09-03,2021-09-03,FE:Heavy Melt,FE:Heavy Melt,,,,HMS,FE:Heavy Melt,43480,,0.1674105,7279.01,7279.01,0,qbo_out\qbo_pdfs\Mervis\INV-227.pdf
Mervis,228,1016,2021-09-21,2021-09-21,FE:Clips,FE:Clips,BALING CLIPS/#1 BUNDLES,,,Clips,BALING CLIPS/#1 BUNDLES,24820,,0.2053571,5096.96,5096.96,0,qbo_out\qbo_pdfs\Mervis\INV-228.pdf
Mervis,245,1019,2021-09-29,2021-09-29,FE:Heavy Melt,FE:Heavy Melt,,,,HMS,FE:Heavy Melt,37460,,0.1674107,6271.2,6271.2,0,qbo_out\qbo_pdfs\Mervis\INV-245.pdf
Mervis,244,1018,2021-09-29,2021-09-29,FE:5ft P&S,FE:5ft P&S,,,,P&S,FE:5ft P&S,36240,,0.1808038,6552.33,6552.33,0,qbo_out\qbo_pdfs\Mervis\INV-244.pdf
Mervis,252,1020,2021-10-01,2021-10-01,FE:Clips,FE:Clips,BALING CLIPS/#1 BUNDLES,,,Clips,BALING CLIPS/#1 BUNDLES,37040,,0.2053569,7606.42,7606.42,0,qbo_out\qbo_pdfs\Mervis\INV-252.pdf
Mervis,373,1024,2021-10-27,2021-10-27,FE:Heavy Melt,FE:Heavy Melt,,,,HMS,FE:Heavy Melt,40280,,0.1673275,6739.95,6739.95,0,qbo_out\qbo_pdfs\Mervis\INV-373.pdf
Mervis,399,1027,2021-11-15,2021-11-15,FE:Clips,FE:Clips,BALING CLIPS/#1 BUNDLES,,,Clips,BALING CLIPS/#1 BUNDLES,36800,,0.2053571,7557.14,7557.14,0,qbo_out\qbo_pdfs\Mervis\INV-399.pdf
