source,customer,suggested
#3 copper,,Sheet Copper
#3 Cu,,Sheet Copper
#3Cu,,Sheet Copper
Bare brite,,No. 1 Copper Wire (Barley)
Bare brite Cu,,No. 1 Copper Wire (Barley)
Bare bright,,No. 1 Copper Wire (Barley)
Bare Bright,,No. 1 Copper Wire (Barley)
Bare Bright copper,,No. 1 Copper Wire (Barley)
Bare bright copper,,No. 1 Copper Wire (Barley)
BB,,No. 1 Copper Wire (Barley)
BB Cu,,No. 1 Copper Wire (Barley)
Bare brite copper,,No. 1 Copper Wire (Barley)
Bare brite Cu,,No. 1 Copper Wire (Barley)
Bare brite copper,,No. 1 Copper Wire (Barley)
Bare brite Cu,,No. 1 Copper Wire (Barley)
Bare brite,,No. 1 Copper Wire (Barley)
Bare Brite,,No. 1 Copper Wire (Barley)
Bare Brite Cu,,No. 1 Copper Wire (Barley)
Bare brite copper,,No. 1 Copper Wire (Barley)
#1 copper,,No. 1 Copper (Berry/Candy)
#1 Cu,,No. 1 Copper (Berry/Candy)
#1 cU,,No. 1 Copper (Berry/Candy)
Bare brite copper,,No. 1 Copper (Berry/Candy)
Berry & Candy,,No. 1 Copper (Berry/Candy)
#2 copper,,No. 2 Copper (Birch/Cliff)
#2 Cu,,No. 2 Copper (Birch/Cliff)
#2 cU,,No. 2 Copper (Birch/Cliff)
Birch & Cliff,,No. 2 Copper (Birch/Cliff)
#2 Cu tips,,No. 2 Copper (Birch/Cliff)
CUBB,,No. 1 Copper Wire (Barley)
CU BB,,No. 1 Copper Wire (Barley)
Copper #1,,No. 1 Copper (Berry/Candy)
Copper #2,,No. 2 Copper (Birch/Cliff)
Copper #3,,Sheet Copper
Copper turnings,,Copper Turnings (Alloy/Shop)
Lead coated sheet copper,,Sheet Copper (Lead-Coated)

Machine wire - KR,Pro Metal Recycling,ICW #1 (MCM 85% HG)
HW R,Pro Metal Recycling,ICW #1 (MCM 85% HG)
HW W,Pro Metal Recycling,ICW #1 (MCM 85% HG)
HW R,Pro Metal Recycling,ICW #1 (MCM 85% HG)
HW R,Pro Metal Recycling,ICW #1 (MCM 85% HG)
HWR,Pro Metal Recycling, ICW #1 (MCM 85% HG)
KR #2 Ins wire - 24 boxes,Pro Metal Recycling,ICW #2 (50% & CAT5/Tel)
Machine wire LG?,Pro Metal Recycling,ICW #1 (MCM 85% HG)
NON FE:Alum/Cu Radiators,Pro Metal Recycling,Al/Cu Radiators (CLEAN)
NON FE:Thermal extrusions,Pro Metal Recycling,Thermal Break Aluminum Extrusion
Fireworks wire,Pro Metal Recycling,ICW #2 (50% & CAT5/Tel)
Range lead and brass shells,Pro Metal Recycling,YELLOW BRASS (RANGE LEAD(CLEAN))
Brass cont'd,Pro Metal Recycling,YELLOW BRASS (RANGE LEAD(CLEAN))
Battery,Pro Metal Recycling,AUTO Batteries
Antennas,Pro Metal Recycling,COPPER BKG
Dirty rads,Pro Metal Recycling,Al/Cu Radiators (Dirty)
SS turnings cont'd,Pro Metal Recycling,STAINLESS STEEL TURNINGS
Unclean car wheels,Pro Metal Recycling,ALUMINUM CAR WHEELS (DIRTY)
mixed boards,Pro Metal Recycling,LOW GRADE Boards
Yellow brass turnings,Pro Metal Recycling,YELLOW BRASS TURNINGS
BeCu turnings,Pro Metal Recycling,Beryllium Copper Turnings
Al Wheels,Pro Metal Recycling,ALUMINUM CAR WHEELS (CLEAN)
#2 Ins - fuses for fireworks,Pro Metal Recycling,ICW #2 (50% & CAT5/Tel)
#1 Ins copper,Pro Metal Recycling,ICW #1 (THHN 80%)
Stainless Steel Turnings,Pro Metal Recycling,STAINLESS STEEL TURNINGS
AC Rads / Clean,Pro Metal Recycling,Al/Cu Radiators (Clean)
dirty motors,Pro Metal Recycling,ELECTRIC Motors (Large <1000 lb)
Al rims,Pro Metal Recycling,ALUMINUM CAR WHEELS (CLEAN)
brass water meters,Pro Metal Recycling,BRASS BKG
dirty truck wheels,Pro Metal Recycling,ALUMINUM TRUCK WHEELS (DIRTY)
e-motors,Pro Metal Recycling,ELECTRIC MOTORS (SMALL)
#1,Pro Metal Recycling,#1 Copper (Berry/Candy)
#2,Pro Metal Recycling,#2 Copper (Birch/Cliff)
Thermo,Pro Metal Recycling,THERMAL BREAK ALUMINUM EXTRUSION
YB,Pro Metal Recycling,YELLOW BRASS (SOLID, CLEAN)
