vendor,material_vendor,material_canonical
C&Y Global, Inc. / Pro Metal Recycling,#3 copper,Sheet Copper
C&Y Global, Inc. / Pro Metal Recycling,#3 Cu,Sheet Copper
C&Y Global, Inc. / Pro Metal Recycling,#3Cu,Sheet Copper
C&Y Global, Inc. / Pro Metal Recycling,Bare brite,No. 1 Bare Bright (Barley)
C&Y Global, Inc. / Pro Metal Recycling,Bare brite Cu,No. 1 Bare Bright (Barley)
C&Y Global, Inc. / Pro Metal Recycling,Bare bright,No. 1 Bare Bright (Barley)
C&Y Global, Inc. / Pro Metal Recycling,Bare Bright,No. 1 Bare Bright (Barley)
C&Y Global, Inc. / Pro Metal Recycling,Bare Bright copper,No. 1 Bare Bright (Barley)
C&Y Global, Inc. / Pro Metal Recycling,Bare bright copper,No. 1 Bare Bright (Barley)
C&Y Global, Inc. / Pro Metal Recycling,BB,No. 1 Bare Bright (Barley)
C&Y Global, Inc. / Pro Metal Recycling,BB Cu,No. 1 Bare Bright (Barley)
C&Y Global, Inc. / Pro Metal Recycling,CUBB,No. 1 Bare Bright (Barley)
C&Y Global, Inc. / Pro Metal Recycling,CU BB,No. 1 Bare Bright (Barley)
C&Y Global, Inc. / Pro Metal Recycling,#1 copper,No. 1 Copper (Berry/Candy)
C&Y Global, Inc. / Pro Metal Recycling,#1 Cu,No. 1 Copper (Berry/Candy)
C&Y Global, Inc. / Pro Metal Recycling,#1 cU,No. 1 Copper (Berry/Candy)
C&Y Global, Inc. / Pro Metal Recycling,Copper #1,No. 1 Copper (Berry/Candy)
C&Y Global, Inc. / Pro Metal Recycling,Berry & Candy,No. 1 Copper (Berry/Candy)
C&Y Global, Inc. / Pro Metal Recycling,#2 copper,No. 2 Copper (Birch/Cliff)
C&Y Global, Inc. / Pro Metal Recycling,#2 Cu,No. 2 Copper (Birch/Cliff)
C&Y Global, Inc. / Pro Metal Recycling,#2 cU,No. 2 Copper (Birch/Cliff)
C&Y Global, Inc. / Pro Metal Recycling,#2 Cu tips,No. 2 Copper (Birch/Cliff)
C&Y Global, Inc. / Pro Metal Recycling,Birch & Cliff,No. 2 Copper (Birch/Cliff)
C&Y Global, Inc. / Pro Metal Recycling,Copper #2,No. 2 Copper (Birch/Cliff)
C&Y Global, Inc. / Pro Metal Recycling,Copper #3,Sheet Copper
C&Y Global, Inc. / Pro Metal Recycling,Copper turnings,Copper Turnings
C&Y Global, Inc. / Pro Metal Recycling,Lead coated sheet copper,Sheet Copper (Lead-Coated)
C&Y Global, Inc. / Pro Metal Recycling,Machine wire - KR,ICW #1 (MCM 85% HG)
C&Y Global, Inc. / Pro Metal Recycling,Machine wire LG?,ICW #1 (MCM 85% HG)
C&Y Global, Inc. / Pro Metal Recycling,HW R,ICW #1 (MCM 85% HG)
C&Y Global, Inc. / Pro Metal Recycling,HW W,ICW #1 (MCM 85% HG)
C&Y Global, Inc. / Pro Metal Recycling,HWR,ICW #1 (MCM 85% HG)
C&Y Global, Inc. / Pro Metal Recycling,#1 Ins copper,ICW #1 (THHN 80%)
C&Y Global, Inc. / Pro Metal Recycling,#1 Ins Cu,ICW #1 (THHN 80%)
C&Y Global, Inc. / Pro Metal Recycling,#1 Insulated,ICW #1 (THHN 80%)
C&Y Global, Inc. / Pro Metal Recycling,#1 insulated copper,ICW #1 (THHN 80%)
C&Y Global, Inc. / Pro Metal Recycling,#1 insulated wire,ICW #1 (THHN 80%)
C&Y Global, Inc. / Pro Metal Recycling,#1 Ins,ICW #1 (THHN 80%)
C&Y Global, Inc. / Pro Metal Recycling,#2 Ins,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,#2 Insulated,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,#2 ins cu,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,#2 insulated copper,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,#2 insulated wire,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,#2 Ins wire,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,#2 ins Cat. 5-6,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,#2 ins Cat. 5-6,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,#2 Ins - fuses for fireworks,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,Harness wire,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,Harnesswire,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,Harness Wire,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,Harness Wire - SE,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,Harness wire - KR,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,Harness wire - IH,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,HW - KR,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,HW = KR,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,H-Wire - B,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,Cat 6 wire,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,Cat. 5/6 wire,ICW #2 (50% & CAT5/Tel)
C&Y Global, Inc. / Pro Metal Recycling,low recovery wire,ICW Low Grade (Mixed Wire 40%+)
C&Y Global, Inc. / Pro Metal Recycling,URD wire,Insulated Al Wire
C&Y Global, Inc. / Pro Metal Recycling,Open eye Heliax,ICW #1 (Heliax 57% Baled)
C&Y Global, Inc. / Pro Metal Recycling,Open eye Heliax wire,ICW #1 (Heliax 57% Baled)
C&Y Global, Inc. / Pro Metal Recycling,Closed eye Heliax,ICW #1 (Heliax 57% Baled)
C&Y Global, Inc. / Pro Metal Recycling,Closed eye heliax wire,ICW #1 (Heliax 57% Baled)
C&Y Global, Inc. / Pro Metal Recycling,Open Eye,ICW #1 (Heliax 57% Baled)
C&Y Global, Inc. / Pro Metal Recycling,H wire,ICW #1 (Heliax 57% Baled)
C&Y Global, Inc. / Pro Metal Recycling,Aluminum BX Wire,ICW #2 BX (Al)
C&Y Global, Inc. / Pro Metal Recycling,Al BX wire,ICW #2 BX (Al)
C&Y Global, Inc. / Pro Metal Recycling,Fe BX wire,ICW #2 BX (Fe, 24%)
C&Y Global, Inc. / Pro Metal Recycling,ICW Low Grade Christmas Lights,ICW Low Grade (Christmas Lights)
C&Y Global, Inc. / Pro Metal Recycling,Xmas lights,ICW Low Grade (Christmas Lights)
C&Y Global, Inc. / Pro Metal Recycling,Xmas lts,ICW Low Grade (Christmas Lights)
C&Y Global, Inc. / Pro Metal Recycling,X-mas/harness wire mixed,ICW Low Grade (Mixed Wire 40%+)
C&Y Global, Inc. / Pro Metal Recycling,Jelly wire,Insulated Copper Wire Scrap (Droid)
C&Y Global, Inc. / Pro Metal Recycling,A/C rads,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,AC rads,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,AC Rads,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,Clean A/C rads,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,A/C Rad - C,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,A/C Rads - C,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,AC Rads / Clean,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,Al/Cu rads clean,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,Al/Cu Rad (clean),Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,loose clean A/C rads,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,NON FE:Alum/Cu Radiators,Al/Cu Radiators (Clean)
